county_code,completed_yr,in_analytic,sample_tag
110302,,1.0,
110502,,1.0,
120101,2018.0,1.0,
120801,2018.0,1.0,
120802,2018.0,1.0,
130102,,1.0,
130201,,1.0,
130202,,1.0,
130301,,1.0,
130401,,1.0,
130402,,1.0,
130403,,1.0,
130602,,1.0,
130801,,1.0,
130901,,1.0,
130902,,1.0,
131001,,1.0,
140401,,1.0,
140402,,1.0,
140403,,1.0,
140501,,1.0,
140701,,1.0,
140702,,1.0,
140801,,1.0,
140901,,1.0,
150101,,1.0,
150302,,1.0,
150401,,1.0,
150402,,1.0,
210301,2018.0,1.0,
210401,2018.0,1.0,
210402,2018.0,1.0,
210501,2018.0,1.0,
210601,2018.0,1.0,
210602,2018.0,1.0,
210603,2018.0,1.0,
210901,2018.0,1.0,
211001,2018.0,1.0,
211301,2018.0,1.0,
211601,2018.0,1.0,
220301,,1.0,
220302,,1.0,
220401,,1.0,
220402,,1.0,
220501,,1.0,
220502,,1.0,
230203,2018.0,1.0,
230401,2018.0,1.0,
230402,2018.0,1.0,
230403,2018.0,1.0,
230501,2018.0,1.0,
230502,2018.0,1.0,
230503,2018.0,1.0,
320101,2017.0,1.0,
320202,2017.0,1.0,
320301,2017.0,1.0,
320501,2017.0,1.0,
320502,2017.0,1.0,
320503,2017.0,1.0,
320601,2017.0,1.0,
320603,2017.0,1.0,
320701,2017.0,1.0,
320801,2017.0,1.0,
320802,2017.0,1.0,
320803,2017.0,1.0,
321001,2017.0,1.0,
321201,2017.0,1.0,
321301,2017.0,1.0,
330401,,1.0,
330402,2016.0,1.0,
330501,,1.0,
330602,2016.0,1.0,
330702,,1.0,
330801,,1.0,
330802,2017.0,1.0,
330901,,1.0,
330902,,1.0,
331001,,1.0,
331201,,1.0,
331401,,1.0,
331501,,1.0,
331601,,1.0,
331801,,1.0,
340101,,1.0,
340102,,1.0,
340103,,1.0,
340301,,1.0,
340501,,1.0,
340502,,1.0,
340503,,1.0,
340504,,1.0,
340601,,1.0,
340703,,1.0,
340901,,1.0,
341101,,1.0,
341102,,1.0,
341301,,1.0,
341501,,1.0,
350101,2018.0,1.0,
350102,2018.0,1.0,
350103,2018.0,1.0,
350201,2018.0,1.0,
350301,2018.0,1.0,
350401,2018.0,1.0,
350402,2018.0,1.0,
350501,2018.0,1.0,
350701,2018.0,1.0,
350703,2018.0,1.0,
350901,2018.0,1.0,
351001,2018.0,1.0,
351201,2018.0,1.0,
360101,,1.0,
360103,,1.0,
360104,,1.0,
360202,,1.0,
360203,,1.0,
360301,,1.0,
360401,,1.0,
360402,,1.0,
360501,,1.0,
360601,,1.0,
360701,,1.0,
370101,2016.0,1.0,
370102,2016.0,1.0,
370201,2016.0,1.0,
370203,2016.0,1.0,
370301,2016.0,1.0,
370401,2016.0,1.0,
370402,2016.0,1.0,
370403,2016.0,1.0,
370501,2016.0,1.0,
370502,2016.0,1.0,
370704,2016.0,1.0,
370801,2016.0,1.0,
370802,2016.0,1.0,
370803,2016.0,1.0,
370804,2016.0,1.0,
370901,2016.0,1.0,
370902,2016.0,1.0,
371002,2016.0,1.0,
371101,2016.0,1.0,
371201,2016.0,1.0,
371401,2016.0,1.0,
371402,2016.0,1.0,
371501,2016.0,1.0,
371502,2016.0,1.0,
371601,2016.0,1.0,
410101,,1.0,
410102,,1.0,
410103,,1.0,
410201,,1.0,
410301,,1.0,
410302,,1.0,
410401,,1.0,
410402,,1.0,
410501,,1.0,
410502,,1.0,
410601,,1.0,
410602,,1.0,
410604,,1.0,
410902,,1.0,
411101,,1.0,
411102,,1.0,
411201,,1.0,
411501,2016.0,1.0,
411601,,1.0,
411701,,1.0,
411801,,1.0,
420602,,1.0,
420702,,1.0,
420801,2016.0,1.0,
420802,2016.0,1.0,
420901,,1.0,
420902,,1.0,
420903,,1.0,
420904,,1.0,
421101,2016.0,1.0,
421102,2016.0,1.0,
421201,2016.0,1.0,
421203,,1.0,
421301,,1.0,
421302,,1.0,
430301,2018.0,1.0,
430302,2018.0,1.0,
430303,2018.0,1.0,
430304,2018.0,1.0,
430401,2018.0,1.0,
430402,2018.0,1.0,
430501,2018.0,1.0,
430502,2018.0,1.0,
430503,2018.0,1.0,
430701,2018.0,1.0,
430801,2018.0,1.0,
430901,2018.0,1.0,
430902,2018.0,1.0,
431201,2018.0,1.0,
431301,2018.0,1.0,
440501,,1.0,
440901,,1.0,
440905,,1.0,
441001,,1.0,
441003,,1.0,
441004,,1.0,
441101,,1.0,
441202,,1.0,
441301,,1.0,
441302,2015.0,1.0,
441303,,1.0,
441401,,1.0,
441502,,1.0,
441601,2016.0,1.0,
441702,2018.0,1.0,
441802,,1.0,
441901,,1.0,
441902,,1.0,
442000,,1.0,
442002,,1.0,
442003,,1.0,
442004,,1.0,
442101,,1.0,
442102,,1.0,
442103,,1.0,
442104,,1.0,
442105,,1.0,
442201,,1.0,
442601,,1.0,
442701,,1.0,
442702,,1.0,
442802,,1.0,
442901,,1.0,
442902,,1.0,
442903,,1.0,
443002,,1.0,
443201,,1.0,
443202,,1.0,
443401,,1.0,
443501,,1.0,
443601,,1.0,
443801,,1.0,
443802,,1.0,
443901,,1.0,
444001,,1.0,
444002,,1.0,
444101,,1.0,
444201,,1.0,
450102,,1.0,
450201,,1.0,
450202,,1.0,
450301,,1.0,
450302,,1.0,
450401,,1.0,
450402,,1.0,
450403,,1.0,
450501,,1.0,
450502,,1.0,
450601,,1.0,
450602,,1.0,
450801,,1.0,
450901,,1.0,
