threshold,window,ctrlset,restriction,rows,households,counties,treated_hh,treated_counties,control_hh,control_counties,treated_pre_rows,treated_post_rows,control_pre_rows,control_post_rows
completed_t,w12_14_c2016,never_only,drop_adminstart2014,3493,2193,165,60,4,2133,161,48,54,1526,1865
completed_t,w12_14_c2016,never_only,drop_official2014prov,3394,2129,160,74,5,2055,155,62,67,1485,1780
completed_t,w12_14_c2016,never_only,full,4032,2529,197,239,18,2290,179,172,221,1657,1982
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,3815,2435,185,60,4,2375,181,48,54,1646,2067
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,3716,2371,180,74,5,2297,175,62,67,1605,1982
completed_t,w12_14_c2016,never_plus_next,full,4354,2771,217,239,18,2532,199,172,221,1777,2184
completed_t,w12_14_c2016,next_only,drop_adminstart2014,424,302,24,60,4,242,20,48,54,120,202
completed_t,w12_14_c2016,next_only,drop_official2014prov,451,316,25,74,5,242,20,62,67,120,202
completed_t,w12_14_c2016,next_only,full,715,481,38,239,18,242,20,172,221,120,202
completed_t,w12_14_c2018,never_only,drop_adminstart2014,3713,2375,181,242,20,2133,161,120,202,1526,1865
completed_t,w12_14_c2018,never_only,drop_official2014prov,3587,2297,175,242,20,2055,155,120,202,1485,1780
completed_t,w12_14_c2018,never_only,full,3961,2532,199,242,20,2290,179,120,202,1657,1982
completed_t,w14_16_c2018,never_only,drop_adminstart2014,4746,3808,234,414,27,3394,207,202,327,1865,2352
completed_t,w14_16_c2018,never_only,drop_official2014prov,4581,3690,225,414,27,3276,198,202,327,1780,2272
completed_t,w14_16_c2018,never_only,full,4996,4038,254,414,27,3624,227,202,327,1982,2485
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,2938,1776,132,369,21,1407,111,241,329,1150,1218
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,2892,1763,132,383,22,1380,110,255,342,1117,1178
high_sat80_t,w12_14_c2016,never_only,full,3477,2112,164,592,41,1520,123,403,520,1243,1311
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,3815,2435,185,369,21,2066,164,241,329,1453,1792
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,3716,2371,180,383,22,1988,158,255,342,1412,1707
high_sat80_t,w12_14_c2016,never_plus_next,full,4354,2771,217,592,41,2179,176,403,520,1546,1885
high_sat80_t,w12_14_c2016,next_only,drop_adminstart2014,1447,1028,74,369,21,659,53,241,329,303,574
high_sat80_t,w12_14_c2016,next_only,drop_official2014prov,1421,991,70,383,22,608,48,255,342,295,529
high_sat80_t,w12_14_c2016,next_only,full,1800,1251,94,592,41,659,53,403,520,303,574
high_sat80_t,w12_14_c2018,never_only,drop_adminstart2014,3245,2066,164,659,53,1407,111,303,574,1150,1218
high_sat80_t,w12_14_c2018,never_only,drop_official2014prov,3119,1988,158,608,48,1380,110,295,529,1117,1178
high_sat80_t,w12_14_c2018,never_only,full,3431,2179,176,659,53,1520,123,303,574,1243,1311
high_sat80_t,w14_16_c2018,never_only,drop_adminstart2014,4061,3289,207,1368,80,1921,127,574,1151,1218,1118
high_sat80_t,w14_16_c2018,never_only,drop_official2014prov,3896,3171,198,1234,71,1937,127,529,1042,1178,1147
high_sat80_t,w14_16_c2018,never_only,full,4233,3453,220,1368,80,2085,140,574,1151,1311,1197
started_t,w12_14_c2016,never_only,drop_adminstart2014,3797,2417,182,1792,132,625,50,1145,1486,545,621
started_t,w12_14_c2016,never_only,drop_official2014prov,3627,2310,173,1705,125,605,48,1089,1412,525,601
started_t,w12_14_c2016,never_only,full,3802,2422,184,1797,134,625,50,1150,1486,545,621
started_t,w12_14_c2016,never_plus_next,drop_adminstart2014,3815,2435,185,1792,132,643,53,1145,1486,549,635
started_t,w12_14_c2016,never_plus_next,drop_official2014prov,3633,2316,175,1705,125,611,50,1089,1412,529,603
started_t,w12_14_c2016,never_plus_next,full,3820,2440,187,1797,134,643,53,1150,1486,549,635
started_t,w12_14_c2016,next_only,drop_adminstart2014,2649,1810,135,1792,132,18,3,1145,1486,4,14
started_t,w12_14_c2016,next_only,drop_official2014prov,2507,1711,127,1705,125,6,2,1089,1412,4,2
started_t,w12_14_c2016,next_only,full,2654,1815,137,1797,134,18,3,1150,1486,4,14
started_t,w12_14_c2018,never_only,drop_adminstart2014,1184,643,53,18,3,625,50,4,14,545,621
started_t,w12_14_c2018,never_only,drop_official2014prov,1132,611,50,6,2,605,48,4,2,525,601
started_t,w12_14_c2018,never_only,full,1184,643,53,18,3,625,50,4,14,545,621
started_t,w14_16_c2018,never_only,drop_adminstart2014,648,644,53,14,2,630,51,14,0,621,13
started_t,w14_16_c2018,never_only,drop_official2014prov,616,612,50,2,1,610,49,2,0,601,13
started_t,w14_16_c2018,never_only,full,648,644,53,14,2,630,51,14,0,621,13
