threshold,window,ctrlset,restriction,outcome,fespec,b,se,p,N,households,clusters,meandv,treated_hh,treated_counties,control_hh,control_counties
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,hh_provyear,-.1619164619164654,.15094784,.28572723,2370,1185,113,.1286919831223629,42,3,1143,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,hh_year,-.0710536182977116,.16729298,.67185152,2370,1185,113,.1286919831223629,42,3,1143,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_provyear,.0913397244823987,.082679532,.27163818,2354,1177,113,.1444350042480884,41,3,1136,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_year,.0898960838199924,.07658343,.24295239,2354,1177,113,.1444350042480884,41,3,1136,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,hh_provyear,-.1650671699833929,.18944404,.38544106,2368,1184,113,.2065034236617969,42,3,1142,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,hh_year,-.0752547530435702,.19771814,.70420891,2368,1184,113,.2065034236617969,42,3,1142,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,hh_provyear,-.1469053721772671,.15062928,.33152434,2254,1127,113,1.981222601000683,41,3,1086,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,hh_year,-.0661750793068393,.10167224,.5164656,2254,1127,113,1.981222601000683,41,3,1086,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,.1783353339877045,.10901363,.10466789,2354,1177,113,.2776125670729401,41,3,1136,110
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_year,.1944116001267238,.095523275,.044188857,2354,1177,113,.2776125670729401,41,3,1136,110
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_abandon,hh_provyear,-.1365358714195931,.12283465,.26880348,2300,1150,109,.1252173913043478,55,4,1095,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_abandon,hh_year,-.0511415525114157,.13536485,.70631677,2300,1150,109,.1252173913043478,55,4,1095,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_provyear,.0989283802482614,.061607692,.11124243,2284,1142,109,.1444833625218914,54,4,1088,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_year,.0887799564270189,.058734421,.1335692,2284,1142,109,.1444833625218914,54,4,1088,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_abandon,hh_provyear,-.1873071375229148,.15063675,.21639968,2298,1149,109,.2030105796656654,55,4,1094,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_abandon,hh_year,-.0491290550654523,.16065735,.7603454,2298,1149,109,.2030105796656654,55,4,1094,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_land_total,hh_provyear,-.2095521204674567,.12843204,.10567246,2184,1092,109,2.005697995582389,52,4,1040,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_land_total,hh_year,-.0912987436959444,.091281958,.3194572,2184,1092,109,2.005697995582389,52,4,1040,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,hh_provyear,.1750654295761279,.083444767,.038239609,2284,1142,109,.2812756553045513,54,4,1088,105
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,hh_year,.1809777427509373,.077838123,.021938402,2284,1142,109,.2812756553045513,54,4,1088,105
completed_t,w12_14_c2016,never_only,full,any_abandon,hh_provyear,-.1093175370830749,.091094121,.23223713,2732,1366,135,.1185944363103953,135,13,1231,122
completed_t,w12_14_c2016,never_only,full,any_abandon,hh_year,-.0734964046093142,.057291996,.20176296,2732,1366,135,.1185944363103953,135,13,1231,122
completed_t,w12_14_c2016,never_only,full,any_rentin,hh_provyear,.0596121558853034,.053001877,.26271927,2714,1357,135,.1392778187177598,133,13,1224,122
completed_t,w12_14_c2016,never_only,full,any_rentin,hh_year,.0313774632660099,.046037659,.49669299,2714,1357,135,.1392778187177598,133,13,1224,122
completed_t,w12_14_c2016,never_only,full,asinh_abandon,hh_provyear,-.1442637386329711,.11455949,.2101144,2730,1365,135,.1900362342510573,135,13,1230,122
completed_t,w12_14_c2016,never_only,full,asinh_abandon,hh_year,-.1056522484595986,.0717545,.14325431,2730,1365,135,.1900362342510573,135,13,1230,122
completed_t,w12_14_c2016,never_only,full,asinh_land_total,hh_provyear,-.2848678431996519,.11531706,.014755978,2614,1307,135,2.025561185370346,138,13,1169,122
completed_t,w12_14_c2016,never_only,full,asinh_land_total,hh_year,-.1655889798664162,.074407607,.027723851,2614,1307,135,2.025561185370346,138,13,1169,122
