threshold,window,ctrlset,restriction,outcome,treated_pre,treated_post,treated_change,control_pre,control_post,control_change,diff_change,se,p,treated_hh,control_hh
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_abandon,.1904761904761905,.16666667,-.023809524,.10323709,.15048119,.047244094,-.071053617,.16729301,.67185158,42,1143
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,.2926829268292683,.36585367,.073170729,.14612676,.12940142,-.016725352,.089896083,.076583445,.24295248,41,1136
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_abandon,.1989926134135813,.19891542,-.000077196171,.1691923,.24436985,.075177558,-.075254753,.19771817,.70420897,42,1142
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_land_total,1.461663057070224,1.6318308,.17016773,1.879454,2.1157968,.2363428,-.066175081,.10167226,.51646566,41,1086
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,.4158707536601169,.56338346,.1475127,.29341009,.24651119,-.04689889,.19441161,.09552329,.044188894,41,1136
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_abandon,.1454545454545454,.14545454,0,.098630138,.14977169,.051141553,-.051141553,.13536488,.70631683,55,1095
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,.2222222222222222,.2962963,.074074075,.14613971,.13143383,-.014705882,.088779956,.058734432,.13356927,54,1088
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_abandon,.1519579956976439,.17814696,.026188968,.16725989,.24257791,.075318024,-.049129054,.16065738,.76034546,55,1094
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_land_total,1.668607974227445,1.8188249,.15021697,1.8980392,2.139555,.2415157,-.091298744,.09128198,.31945732,52,1040
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,.3157537203715702,.4544881,.13873439,.29724324,.25499988,-.042243361,.18097775,.077838138,.021938426,54,1088
completed_t,w12_14_c2016,never_only,full,any_abandon,.0962962962962963,.06666667,-.029629629,.10073111,.14459789,.043866776,-.073496401,.057292003,.20176302,135,1231
completed_t,w12_14_c2016,never_only,full,any_rentin,.1654135338345865,.18045112,.015037594,.14379086,.12745099,-.01633987,.031377465,.046037666,.49669304,133,1224
completed_t,w12_14_c2016,never_only,full,asinh_abandon,.118366673212524,.083271988,-.035094686,.16454954,.23510711,.070557564,-.10565225,.071754508,.14325437,135,1230
completed_t,w12_14_c2016,never_only,full,asinh_land_total,2.103396528502703,2.1745944,.071197897,1.8937769,2.1305637,.23678687,-.16558897,.074407615,.027723873,138,1169
completed_t,w12_14_c2016,never_only,full,asinh_rentin,.2614364559568972,.29208562,.030649168,.28857312,.24325392,-.045319188,.075968355,.070589356,.28377104,133,1224
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_abandon,.1904761904761905,.16666667,-.023809524,.10262726,.15270936,.050082102,-.073891625,.16713911,.65920854,42,1218
