scope,threshold,outcome,event,b,se,p,N,households,clusters,meandv,cohort2016_hh,cohort2018_hh,never_hh
adjacent,completed_t,any_abandon,rt_0,-.062152509699482,.048414342,.19922513,589,267,39,.1018675721561969,168,99,0
adjacent,completed_t,any_abandon,rt_m4,.1261762721928234,.12427304,.30995575,589,267,39,.1018675721561969,168,99,0
adjacent,completed_t,any_abandon,rt_p2,0,0,,589,267,39,.1018675721561969,168,99,0
adjacent,completed_t,any_rentin,rt_0,-.0191824714177109,.033737127,.56963682,580,263,38,.146551724137931,165,98,0
adjacent,completed_t,any_rentin,rt_m4,.1092167633428233,.10794373,.31163681,580,263,38,.146551724137931,165,98,0
adjacent,completed_t,any_rentin,rt_p2,0,0,,580,263,38,.146551724137931,165,98,0
adjacent,completed_t,asinh_abandon,rt_0,-.0819821241603755,.076737538,.28536513,587,266,39,.1251600732915179,167,99,0
adjacent,completed_t,asinh_abandon,rt_m4,.1037940448103378,.17545503,.55413812,587,266,39,.1251600732915179,167,99,0
adjacent,completed_t,asinh_abandon,rt_p2,0,0,,587,266,39,.1251600732915179,167,99,0
adjacent,completed_t,asinh_land_total,rt_0,.044327327784569,.12238257,.71720034,571,259,38,2.165241319323422,164,95,0
adjacent,completed_t,asinh_land_total,rt_m4,.7102195053717406,.55805999,.20313941,571,259,38,2.165241319323422,164,95,0
adjacent,completed_t,asinh_land_total,rt_p2,0,0,,571,259,38,2.165241319323422,164,95,0
adjacent,completed_t,asinh_rentin,rt_0,-.0879881486266418,.071963087,.22144888,578,262,38,.3016320346593436,164,98,0
adjacent,completed_t,asinh_rentin,rt_m4,.3408222235188861,.21229719,.10840547,578,262,38,.3016320346593436,164,98,0
adjacent,completed_t,asinh_rentin,rt_p2,0,0,,578,262,38,.3016320346593436,164,98,0
adjacent,high_sat80_t,any_abandon,rt_0,-.0513705455052009,.044420104,.24748871,625,284,42,.1008,168,116,0
adjacent,high_sat80_t,any_abandon,rt_m4,.1242381236964593,.11439808,.27747199,625,284,42,.1008,168,116,0
adjacent,high_sat80_t,any_abandon,rt_p2,0,0,,625,284,42,.1008,168,116,0
adjacent,high_sat80_t,any_rentin,rt_0,-.0110134765773261,.030047469,.71396524,616,280,41,.1412337662337662,165,115,0
adjacent,high_sat80_t,any_rentin,rt_m4,.0703930404897408,.097912833,.47218049,616,280,41,.1412337662337662,165,115,0
adjacent,high_sat80_t,any_rentin,rt_p2,0,0,,616,280,41,.1412337662337662,165,115,0
adjacent,high_sat80_t,asinh_abandon,rt_0,-.069917433767543,.068658583,.30851883,621,282,42,.1197267900308222,167,115,0
adjacent,high_sat80_t,asinh_abandon,rt_m4,.1068479955552043,.162921,.51193541,621,282,42,.1197267900308222,167,115,0
adjacent,high_sat80_t,asinh_abandon,rt_p2,0,0,,621,282,42,.1197267900308222,167,115,0
adjacent,high_sat80_t,asinh_land_total,rt_0,.0280173011388821,.11788249,.81213593,607,276,41,2.132577355542484,164,112,0
adjacent,high_sat80_t,asinh_land_total,rt_m4,.4423312640385119,.4970488,.37351143,607,276,41,2.132577355542484,164,112,0
adjacent,high_sat80_t,asinh_land_total,rt_p2,0,0,,607,276,41,2.132577355542484,164,112,0
