threshold,window,ctrlset,restriction,outcome,fespec,b,se,p_cluster,p_wild,N,households,clusters,treated_hh,treated_counties,control_hh,control_counties
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_provyear,.0913397244823975,0,,.46146145,3310,2133,163,60,4,2073,159
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,hh_year,.0898960838199931,.12828791,.48447239,.35335335,3310,2133,163,60,4,2073,159
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_provyear,.1783353339877,0,,.43143144,3310,2133,163,60,4,2073,159
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,hh_year,.1944116001267241,.16001478,.22614907,.34934935,3310,2133,163,60,4,2073,159
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_provyear,.0989283802482602,0,,.31531531,3212,2070,157,74,5,1996,152
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,hh_year,.0887799564270153,.098391198,.36828008,.3103103,3212,2070,157,74,5,1996,152
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,hh_provyear,.1750654295761254,0,,.23823825,3212,2070,157,74,5,1996,152
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,hh_year,.1809777427509306,.13039349,.16713582,.17817818,3212,2070,157,74,5,1996,152
completed_t,w12_14_c2016,never_only,full,any_rentin,hh_provyear,.0596121558853051,0,,.42242241,3813,2456,194,229,18,2227,176
completed_t,w12_14_c2016,never_only,full,any_rentin,hh_year,.0313774632660082,.077102356,.68448937,.53453451,3813,2456,194,229,18,2227,176
completed_t,w12_14_c2016,never_only,full,asinh_rentin,hh_provyear,.1206494832401438,0,,.27827829,3813,2456,194,229,18,2227,176
completed_t,w12_14_c2016,never_only,full,asinh_rentin,hh_year,.0759683557867942,.1182207,.5212478,.34534535,3813,2456,194,229,18,2227,176
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,hh_provyear,.0913397244823975,0,,.47947949,3630,2374,183,60,4,2314,179
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,hh_year,.0863394559871525,.13008228,.5077033,.36536536,3630,2374,183,60,4,2314,179
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,hh_provyear,.1783353339877,0,,.42342341,3630,2374,183,60,4,2314,179
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,hh_year,.1821851576989267,.16189325,.26192626,.34134135,3630,2374,183,60,4,2314,179
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,hh_provyear,.0989283802482603,.10460496,.34558126,.31331331,3532,2311,177,74,5,2237,172
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,hh_year,.085213748452823,.099850476,.39458999,.3003003,3532,2311,177,74,5,2237,172
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,hh_provyear,.1750654295761255,0,,.21921922,3532,2311,177,74,5,2237,172
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,hh_year,.1685635689880671,.131772,.20250835,.16716717,3532,2311,177,74,5,2237,172
completed_t,w12_14_c2016,never_plus_next,full,any_rentin,hh_provyear,.059612155885305,.089802444,.50752699,.4044044,4133,2697,214,229,18,2468,196
completed_t,w12_14_c2016,never_plus_next,full,any_rentin,hh_year,.0280844090271727,.078144558,.71965903,.55855858,4133,2697,214,229,18,2468,196
completed_t,w12_14_c2016,never_plus_next,full,asinh_rentin,hh_provyear,.1206494832401432,.13654023,.3778984,.27827829,4133,2697,214,229,18,2468,196
completed_t,w12_14_c2016,never_plus_next,full,asinh_rentin,hh_year,.0646634202269343,.11935947,.5885545,.41941941,4133,2697,214,229,18,2468,196
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,hh_provyear,0,0,,,421,301,24,60,4,241,20
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,hh_year,.0351960481630133,.21545887,.87166667,.76776779,421,301,24,60,4,241,20
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,hh_provyear,0,0,,,421,301,24,60,4,241,20
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,hh_year,.0063720108890797,.32208917,.9843868,.97597599,421,301,24,60,4,241,20
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,hh_provyear,0,0,,,448,315,25,74,5,241,20
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,hh_year,.0360993905297703,.18943606,.8504712,.74074072,448,315,25,74,5,241,20
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,hh_provyear,0,0,,,448,315,25,74,5,241,20
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,hh_year,-.0024063177713697,.29695114,.99360144,.992993,448,315,25,74,5,241,20
completed_t,w12_14_c2016,next_only,full,any_rentin,hh_provyear,0,0,,,682,470,38,229,18,241,20
