threshold,window,ctrlset,restriction,outcome,b,se,p,N,counties,treated_counties,control_counties
completed_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,.0531163017500968,.091717549,.56365478,228,114,3,111
completed_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,.0489606017755727,.18449539,.79120356,228,114,3,111
completed_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,.0595769628417347,.070749216,.40158334,220,110,4,106
completed_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,.0650685393515339,.14173472,.64708602,220,110,4,106
completed_t,w12_14_c2016,never_only,full,any_rentin,.0045080429409547,.048770886,.92649096,272,136,13,123
completed_t,w12_14_c2016,never_only,full,asinh_rentin,-.0106629017746923,.08304853,.89802855,272,136,13,123
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,.0481020994053594,.091691434,.60080737,246,123,3,120
completed_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,.0358584066458659,.18427926,.84603971,246,123,3,120
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,.0544520455390083,.070742823,.44300514,238,119,4,115
completed_t,w12_14_c2016,never_plus_next,drop_official2014prov,asinh_rentin,.0517444141703765,.14148207,.71522045,238,119,4,115
completed_t,w12_14_c2016,never_plus_next,full,any_rentin,-.0002910380326206,.048813224,.99525106,290,145,13,132
completed_t,w12_14_c2016,never_plus_next,full,asinh_rentin,-.0231612325184357,.082849436,.78021771,290,145,13,132
completed_t,w12_14_c2016,next_only,drop_adminstart2014,any_rentin,-.0214483956262355,.13186418,.87373948,24,12,3,9
completed_t,w12_14_c2016,next_only,drop_adminstart2014,asinh_rentin,-.1458782075990883,.24592726,.56505978,24,12,3,9
completed_t,w12_14_c2016,next_only,drop_official2014prov,any_rentin,-.0139624499206945,.11480036,.90520996,26,13,4,9
completed_t,w12_14_c2016,next_only,drop_official2014prov,asinh_rentin,-.1261244660212824,.20824166,.55602032,26,13,4,9
completed_t,w12_14_c2016,next_only,full,any_rentin,-.0718061930118266,.097495116,.46956843,44,22,13,9
completed_t,w12_14_c2016,next_only,full,asinh_rentin,-.2094094048334554,.1626083,.21182157,44,22,13,9
completed_t,w14_16_c2018,never_only,drop_adminstart2014,any_rentin,-.0512450648031118,.041785035,.22249073,238,119,17,102
completed_t,w14_16_c2018,never_only,drop_adminstart2014,asinh_rentin,-.079966094476454,.07840436,.30985343,238,119,17,102
completed_t,w14_16_c2018,never_only,drop_official2014prov,any_rentin,-.0451866303536689,.041703455,.2808831,228,114,17,97
completed_t,w14_16_c2018,never_only,drop_official2014prov,asinh_rentin,-.0718414101790138,.078627631,.36282432,228,114,17,97
completed_t,w14_16_c2018,never_only,full,any_rentin,-.0535421726900016,.041623123,.20071526,250,125,17,108
completed_t,w14_16_c2018,never_only,full,asinh_rentin,-.0844928224723472,.078077421,.28127822,250,125,17,108
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,any_rentin,.0282223907804003,.034658793,.41737452,206,103,13,90
high_sat80_t,w12_14_c2016,never_only,drop_adminstart2014,asinh_rentin,.1013504291768222,.070640422,.15442109,206,103,13,90
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,any_rentin,.0309708888985613,.033531874,.3579047,202,101,14,87
high_sat80_t,w12_14_c2016,never_only,drop_official2014prov,asinh_rentin,.1011366718757748,.068619728,.14365722,202,101,14,87
high_sat80_t,w12_14_c2016,never_only,full,any_rentin,.0057234090817693,.029440744,.8461774,250,125,26,99
high_sat80_t,w12_14_c2016,never_only,full,asinh_rentin,.0420826607816077,.057597898,.46638438,250,125,26,99
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,any_rentin,.0210289940641951,.034376472,.54185712,246,123,13,110
high_sat80_t,w12_14_c2016,never_plus_next,drop_adminstart2014,asinh_rentin,.0748087161270058,.069166847,.28157732,246,123,13,110
high_sat80_t,w12_14_c2016,never_plus_next,drop_official2014prov,any_rentin,.0234685794565298,.033204898,.48109615,238,119,14,105
