sample_scope,threshold,stage,rows,households,counties,low_hh,high_hh,missing_hh,low_counties,high_counties,missing_counties
adjacent,completed_t,estim_any,2860,1138,134,736,402,0,87,47,0
adjacent,completed_t,estim_asinh,2854,1135,134,734,401,0,87,47,0
adjacent,completed_t,outcome_any,8108,4521,340,1899,915,1707,142,66,132
adjacent,completed_t,outcome_asinh,8090,4512,340,1898,914,1700,142,66,132
adjacent,completed_t,raw,8338,4623,342,1935,943,1745,142,68,132
adjacent,high_sat80_t,estim_any,2860,1138,134,736,402,0,87,47,0
adjacent,high_sat80_t,estim_asinh,2854,1135,134,734,401,0,87,47,0
adjacent,high_sat80_t,outcome_any,8108,4521,340,1899,915,1707,142,66,132
adjacent,high_sat80_t,outcome_asinh,8090,4512,340,1898,914,1700,142,66,132
adjacent,high_sat80_t,raw,8338,4623,342,1935,943,1745,142,68,132
mech,completed_t,estim_any,3024,1220,139,793,427,0,90,49,0
mech,completed_t,estim_asinh,3018,1217,139,791,426,0,90,49,0
mech,completed_t,outcome_any,10875,5965,347,2298,1134,2533,146,68,133
mech,completed_t,outcome_asinh,10850,5952,347,2296,1133,2523,146,68,133
mech,completed_t,raw,11152,6082,349,2338,1165,2579,146,70,133
mech,high_sat80_t,estim_any,3024,1220,139,793,427,0,90,49,0
mech,high_sat80_t,estim_asinh,3018,1217,139,791,426,0,90,49,0
mech,high_sat80_t,outcome_any,10875,5965,347,2298,1134,2533,146,68,133
mech,high_sat80_t,outcome_asinh,10850,5952,347,2296,1133,2523,146,68,133
mech,high_sat80_t,raw,11152,6082,349,2338,1165,2579,146,70,133
