statistic,value
baseline2014_risk_rows,2405
a3_observed_rows,2321
a3_missing_rows,84
phat_a3_prov_mean,.9097744360901685
phat_a3_prov_min,.2547485835379044
phat_a3_prov_max,.9983075196910083
phat_a3_simple_mean,.9603960396037974
phat_a3_simple_min,.7548369307262754
phat_a3_simple_max,.9861061780150246
w_a3_ipw_prov_raw_mean,1.10136339712547
w_a3_ipw_prov_raw_min,1.001695349654899
w_a3_ipw_prov_raw_max,3.925438901807313
w_a3_ipw_simple_raw_mean,1.041277827339846
w_a3_ipw_simple_raw_min,1.014089580102766
w_a3_ipw_simple_raw_max,1.324789446957554
w_a3_ipw_prov_mean,1
w_a3_ipw_prov_min,.7290311060623402
w_a3_ipw_prov_max,1.117872356165029
w_a3_ipw_simple_mean,1
w_a3_ipw_simple_min,.9733936689887398
w_a3_ipw_simple_max,1.078443091519008
w_a3_overlap_mean,.9999999999999999
w_a3_overlap_min,.3532095710501272
w_a3_overlap_max,6.232550167199979
