sample_scope,threshold,outcome,weight_spec,lower_b,lower_se,lower_p,diff_b,diff_se,diff_p,high_total_b,high_total_se,high_total_p,N,households,clusters,meandv
adjacent,completed_t,any_rentin,a3_ipw_prov,-.0387083969701535,.048801746,.42912027,.15417765,.058617737,.0095631592,.11546925,.033075619,.0006576592,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,a3_ipw_simple,-.0522205165179764,.055323236,.34696329,.16203058,.064199768,.012811876,.10981005,.033148181,.0011968745,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,a3_overlap,-.1877668675548507,.13347656,.16227315,.16792876,.13451284,.21448004,-.019838117,.042498633,.64155388,2438,1219,113,.1390484003281378
adjacent,completed_t,any_rentin,a3_simple_x_county,.0054978966101031,.042460497,.89717591,.11820123,.073556006,.11049031,.12369913,.060208786,.041930638,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,county_bal,-.000285008057298,.040984452,.99446195,.13075402,.06836009,.057933096,.13046902,.05484052,.018777801,2860,1430,134,.1395104895104895
adjacent,completed_t,any_rentin,unweighted,-.0548694622066244,.051563669,.28920662,.18723482,.060993627,.0025976531,.13236536,.032818571,.000092224167,2860,1430,134,.1395104895104895
adjacent,completed_t,asinh_rentin,a3_ipw_prov,-.101599651386391,.091185682,.26724648,.34837821,.12731153,.0070803198,.24677856,.090073995,.0070133619,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,a3_ipw_simple,-.1140682578227576,.099446259,.25347421,.34958318,.13378309,.01003109,.23551494,.090724818,.010518713,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,a3_overlap,-.3734721057095265,.20930848,.077080265,.37178504,.21764383,.090364411,-.00168707,.072911151,.98158079,2432,1216,113,.2801034614631017
adjacent,completed_t,asinh_rentin,a3_simple_x_county,-.0371029316477416,.082135998,.65221941,.37578833,.18821369,.047956903,.33868542,.16948844,.047772687,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,county_bal,-.0405890346116762,.079915434,.61236489,.38273609,.17319681,.028827148,.34214705,.15352164,.027515497,2854,1427,134,.2819085636692808
adjacent,completed_t,asinh_rentin,unweighted,-.1116722728926036,.092983395,.23188898,.38665572,.13476372,.0047890497,.27498347,.098045476,.0057926327,2854,1427,134,.2819085636692808
adjacent,high_sat80_t,any_rentin,a3_ipw_prov,-.0373858684174862,.04796011,.43709022,.15287395,.0579894,.0094038043,.11548808,.033094812,.00066094019,2670,1335,131,.1382022471910112
adjacent,high_sat80_t,any_rentin,a3_ipw_simple,-.0507813226215668,.054511972,.35328934,.16062044,.06357757,.012724707,.10983912,.033168379,.0012013828,2670,1335,131,.1382022471910112
adjacent,high_sat80_t,any_rentin,a3_overlap,-.1805900310116689,.13133043,.1718507,.1600415,.13127989,.22537279,-.020548528,.042645678,.63085759,2438,1219,113,.1390484003281378
adjacent,high_sat80_t,any_rentin,a3_simple_x_county,.0055611108889054,.04212578,.89517885,.11813732,.073377371,.1098242,.12369844,.060207952,.04192898,2670,1335,131,.1382022471910112
