sample_scope,threshold,outcome,term,b,se,p,N,households,clusters,n_low,n_high,n_missing
adjacent,completed_t,any_rentin,high_minus_low,.187144216095833,.060877688,.0024499069,3336,1668,176,943,487,238
adjacent,completed_t,any_rentin,high_minus_missing,.3133164059610247,.10690603,.0038327214,3336,1668,176,943,487,238
adjacent,completed_t,any_rentin,high_total,.1324234671680635,.032708645,.000077276127,3336,1668,176,943,487,238
adjacent,completed_t,any_rentin,low_total,-.0547207489277695,.05148134,.28928101,3336,1668,176,943,487,238
adjacent,completed_t,any_rentin,missing_minus_low,-.1261721898651917,.11412872,.27044955,3336,1668,176,943,487,238
adjacent,completed_t,any_rentin,missing_total,-.1808929387929612,.10191633,.077650115,3336,1668,176,943,487,238
adjacent,completed_t,asinh_rentin,high_minus_low,.3861846784426204,.13413078,.0044849743,3328,1664,176,941,486,237
adjacent,completed_t,asinh_rentin,high_minus_missing,.5652930224008139,.23050649,.015172026,3328,1664,176,941,486,237
adjacent,completed_t,asinh_rentin,high_total,.2752877387510205,.097374626,.0052445084,3328,1664,176,941,486,237
adjacent,completed_t,asinh_rentin,low_total,-.1108969396916,.092726834,.23333281,3328,1664,176,941,486,237
adjacent,completed_t,asinh_rentin,missing_minus_low,-.1791083439581934,.22850035,.43419203,3328,1664,176,941,486,237
adjacent,completed_t,asinh_rentin,missing_total,-.2900052836497934,.20925665,.16754606,3328,1664,176,941,486,237
adjacent,high_sat80_t,any_rentin,high_minus_low,.1819512822063564,.059991743,.0027904778,3336,1668,176,943,487,238
adjacent,high_sat80_t,any_rentin,high_minus_missing,.3097115096215425,.10675538,.0041957945,3336,1668,176,943,487,238
adjacent,high_sat80_t,any_rentin,high_total,.1288120533695312,.032077223,.00008783106,3336,1668,176,943,487,238
adjacent,high_sat80_t,any_rentin,low_total,-.0531392288368252,.050790679,.29689327,3336,1668,176,943,487,238
adjacent,high_sat80_t,any_rentin,missing_minus_low,-.1277602274151861,.11385738,.26335397,3336,1668,176,943,487,238
adjacent,high_sat80_t,any_rentin,missing_total,-.1808994562520113,.10191948,.07764861,3336,1668,176,943,487,238
adjacent,high_sat80_t,asinh_rentin,high_minus_low,.3763857001729793,.1301616,.0043180683,3328,1664,176,941,486,237
adjacent,high_sat80_t,asinh_rentin,high_minus_missing,.5584642217716017,.22876056,.015631618,3328,1664,176,941,486,237
adjacent,high_sat80_t,asinh_rentin,high_total,.2684419738463119,.092919596,.0043537156,3328,1664,176,941,486,237
adjacent,high_sat80_t,asinh_rentin,low_total,-.1079437263266674,.091444559,.23943196,3328,1664,176,941,486,237
adjacent,high_sat80_t,asinh_rentin,missing_minus_low,-.1820785215986224,.2280647,.4257417,3328,1664,176,941,486,237
adjacent,high_sat80_t,asinh_rentin,missing_total,-.2900222479252898,.20926218,.1675325,3328,1664,176,941,486,237
mech,completed_t,any_rentin,high_minus_low,.2155148291410585,.063097462,.00078399101,4004,2002,184,1000,512,490
mech,completed_t,any_rentin,high_minus_missing,.314122342133841,.092234246,.00081115559,4004,2002,184,1000,512,490
mech,completed_t,any_rentin,high_total,.1701767625949339,.037920482,.000012700889,4004,2002,184,1000,512,490
mech,completed_t,any_rentin,low_total,-.0453380665461246,.050484691,.37033588,4004,2002,184,1000,512,490
mech,completed_t,any_rentin,missing_minus_low,-.0986075129927825,.098053798,.31591323,4004,2002,184,1000,512,490
mech,completed_t,any_rentin,missing_total,-.1439455795389071,.08407212,.088559695,4004,2002,184,1000,512,490
mech,completed_t,asinh_rentin,high_minus_low,.4656443779975411,.15897006,.0038315458,3992,1996,184,998,511,487
mech,completed_t,asinh_rentin,high_minus_missing,.5445137796074179,.21068452,.010531149,3992,1996,184,998,511,487
mech,completed_t,asinh_rentin,high_total,.3711642132600159,.13236189,.0055893692,3992,1996,184,998,511,487
mech,completed_t,asinh_rentin,low_total,-.0944801647375252,.088366464,.28639424,3992,1996,184,998,511,487
mech,completed_t,asinh_rentin,missing_minus_low,-.0788694016098767,.18619338,.67236328,3992,1996,184,998,511,487
mech,completed_t,asinh_rentin,missing_total,-.173349566347402,.16408983,.29216403,3992,1996,184,998,511,487
mech,high_sat80_t,any_rentin,high_minus_low,.2097845544964673,.061544541,.00080292858,4004,2002,184,1000,512,490
mech,high_sat80_t,any_rentin,high_minus_missing,.3100782033795338,.09174712,.00088686263,4004,2002,184,1000,512,490
mech,high_sat80_t,any_rentin,high_total,.1661284952724017,.036677707,.000010643299,4004,2002,184,1000,512,490
mech,high_sat80_t,any_rentin,low_total,-.0436560592240656,.049505211,.37901595,4004,2002,184,1000,512,490
mech,high_sat80_t,any_rentin,missing_minus_low,-.1002936488830665,.097590484,.30544785,4004,2002,184,1000,512,490
mech,high_sat80_t,any_rentin,missing_total,-.1439497081071321,.084073313,.088555112,4004,2002,184,1000,512,490
mech,high_sat80_t,asinh_rentin,high_minus_low,.4542446056703592,.1540148,.0036002218,3992,1996,184,998,511,487
mech,high_sat80_t,asinh_rentin,high_minus_missing,.5365150410999359,.20770463,.010573354,3992,1996,184,998,511,487
mech,high_sat80_t,asinh_rentin,high_total,.3631520773804377,.12749238,.0048966762,3992,1996,184,998,511,487
mech,high_sat80_t,asinh_rentin,low_total,-.0910925282899215,.086672761,.29464734,3992,1996,184,998,511,487
mech,high_sat80_t,asinh_rentin,missing_minus_low,-.0822704354295767,.18547244,.65787584,3992,1996,184,998,511,487
mech,high_sat80_t,asinh_rentin,missing_total,-.1733629637194982,.16409339,.29213727,3992,1996,184,998,511,487
