sample_scope,threshold,outcome,recode,lower_b,lower_se,lower_p,diff_b,diff_se,diff_p,high_total_b,high_total_se,high_total_p,N,households,clusters,meandv
adjacent,completed_t,any_rentin,a3_missing_high,-.0556160936058142,.051724192,.283746,.046673391,.094644047,.62252724,-.0089427037,.079185225,.91021234,3336,1668,176,.1492805755395683
adjacent,completed_t,any_rentin,a3_missing_low,-.0776964659345069,.045925573,.092465721,.21028014,.056140553,.00024405899,.13258366,.032474939,.000067623929,3336,1668,176,.1492805755395683
adjacent,completed_t,any_rentin,a3_obs_only,-.0548694622066258,.051563669,.28920662,.18723482,.060993627,.0025976531,.13236536,.032818571,.000092224167,2860,1430,134,.1395104895104895
adjacent,completed_t,asinh_rentin,a3_missing_high,-.1118542011591832,.09285564,.22998309,.13486837,.16794229,.42302725,.023014167,.1401345,.86974031,3328,1664,176,.3167590583752063
adjacent,completed_t,asinh_rentin,a3_missing_low,-.1434593307560819,.085126452,.093722753,.41900837,.12861191,.0013481502,.27554905,.096826181,.0049589872,3328,1664,176,.3167590583752063
adjacent,completed_t,asinh_rentin,a3_obs_only,-.1116722728926026,.092983395,.23188898,.38665572,.13476372,.0047890497,.27498347,.098045476,.0057926327,2854,1427,134,.2819085636692808
adjacent,high_sat80_t,any_rentin,a3_missing_high,-.0538884611396364,.051037733,.2924898,.045347448,.093230054,.62728947,-.0085410122,.07794293,.91286778,3336,1668,176,.1492805755395683
adjacent,high_sat80_t,any_rentin,a3_missing_low,-.0762020692304451,.045426331,.095232472,.20507902,.055419959,.00028803374,.12887695,.031893861,.000079654368,3336,1668,176,.1492805755395683
adjacent,high_sat80_t,any_rentin,a3_obs_only,-.0532685997445077,.05087034,.29693219,.18205747,.060099207,.0029458406,.12878887,.032166626,.000103085,2860,1430,134,.1395104895104895
adjacent,high_sat80_t,asinh_rentin,a3_missing_high,-.1087217954116332,.091584824,.23679087,.13205926,.16550896,.42601106,.023337465,.13799198,.86589611,3328,1664,176,.3167590583752063
adjacent,high_sat80_t,asinh_rentin,a3_missing_low,-.140774458242108,.084160455,.096174888,.40932375,.12475206,.0012480703,.26854929,.09237843,.0041207881,3328,1664,176,.3167590583752063
adjacent,high_sat80_t,asinh_rentin,a3_obs_only,-.1086182219878434,.091696016,.23830917,.37693688,.13079458,.0046103802,.26831865,.093584225,.0048176539,2854,1427,134,.2819085636692808
mech,completed_t,any_rentin,a3_missing_high,-.0460854471232485,.050842665,.36589891,.057010233,.091067344,.53207999,.010924786,.075661756,.88535154,4004,2002,184,.1568431568431568
mech,completed_t,any_rentin,a3_missing_low,-.0696328757142923,.044270776,.11747256,.23964822,.058012169,.000054882345,.17001535,.037520874,.000010561795,4004,2002,184,.1568431568431568
mech,completed_t,any_rentin,a3_obs_only,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139,.1402116402116402
mech,completed_t,asinh_rentin,a3_missing_high,-.0955435736864542,.088691354,.2827825,.19084835,.16215101,.24073242,.09530478,.13634224,.48543239,3992,1996,184,.3477229816933153
mech,completed_t,asinh_rentin,a3_missing_low,-.1136609891362343,.078440696,.14904748,.48484313,.15367509,.0018767465,.37118214,.13241707,.0056065554,3992,1996,184,.3477229816933153
mech,completed_t,asinh_rentin,a3_obs_only,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139,.2931556382874959
mech,high_sat80_t,any_rentin,a3_missing_high,-.0442349555008755,.049862619,.37616977,.055186249,.089801364,.53962392,.010951293,.074762858,.88370341,4004,2002,184,.1568431568431568
mech,high_sat80_t,any_rentin,a3_missing_low,-.0680556274519237,.04361346,.12038666,.233959,.056721997,.000056282843,.16590337,.036295142,8.9141968e-06,4004,2002,184,.1568431568431568
mech,high_sat80_t,any_rentin,a3_obs_only,-.0437577286157869,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139,.1402116402116402
mech,high_sat80_t,asinh_rentin,a3_missing_high,-.0919072085688259,.087010115,.29223189,.18669674,.15995489,.2446548,.094789535,.13467631,.48243183,3992,1996,184,.3477229816933153
mech,high_sat80_t,asinh_rentin,a3_missing_low,-.1107837023533203,.077261873,.15331501,.47395712,.14893356,.0017166841,.3631734,.12754962,.00491306,3992,1996,184,.3477229816933153
mech,high_sat80_t,asinh_rentin,a3_obs_only,-.0915733287114921,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139,.2931556382874959
