statistic,value
riskset_2014_rows,2405
retained_rows,1043
phat_mean,.4338640164567337
phat_min,.0875295657194313
phat_max,.9999998407470485
phat_simple_mean,.4336798337090755
phat_simple_min,.2681141253240227
phat_simple_max,.708996649259116
raw_ipw_mean_retained,2.295422122801729
raw_ipw_min_retained,1.000000159252977
raw_ipw_max_retained,5.625071595781697
raw_ipw_simple_mean_retained,2.305775786995645
raw_ipw_simple_min_retained,1.410443901314591
raw_ipw_simple_max_retained,3.729755001872709
trimmed_ipw_mean_retained,1
trimmed_ipw_min_retained,.4365806022478143
trimmed_ipw_max_retained,2.100233028699044
trimmed_ipw_simple_mean_retain,1
trimmed_ipw_simple_min_retaine,.7909181371482329
trimmed_ipw_simple_max_retaine,1.28280826614693
overlap_weight_mean_retained,1
overlap_weight_min_retained,2.95635439457e-07
overlap_weight_max_retained,1.526368551851257
