retained_marker,universe,variable,n_ret,n_drop,mean_ret,mean_drop,diff,se,p
retained_any_renti,all2014,Cert_h,1043,1362,0,0,0,0,
retained_any_renti,all2014,admin_start_by2014,1043,1362,.1112176414189837,.12334802,-.012130376,.033122614,.71457195
retained_any_renti,all2014,any_abandon,1028,1266,.1313229571984436,.14691943,-.015596475,.023691965,.5110935
retained_any_renti,all2014,any_rentin,1031,1258,.1348205625606207,.11844197,.016378591,.017691543,.35566166
retained_any_renti,all2014,asinh_abandon,1026,1265,.208204290490767,.22994241,-.021738121,.053734854,.68624061
retained_any_renti,all2014,asinh_land_total,978,1273,2.159159664217251,2.1337895,.025370236,.082141832,.75774407
retained_any_renti,all2014,asinh_rentin,1031,1258,.2656771925632618,.22070952,.044967666,.038200814,.24052517
retained_any_renti,all2014,base14_rg_readadjust,0,0,,,,,
retained_any_renti,all2014,cohort2016_completed,1043,1362,.1179290508149569,.071953014,.045976039,.028417155,.10721485
retained_any_renti,all2014,cohort2018_completed,1043,1362,.0536912751677852,.046255507,.0074357684,.012575656,.55497921
retained_any_renti,all2014,instab_high,1043,1278,.3662511984659635,.29420969,.072041497,.052836504,.17425658
retained_any_renti,all2014,land_mu_base,978,1273,721.3277556237219,1262.4387,-541.11102,459.80838,.24063925
retained_any_renti,all2014,never_completed_base,1043,1362,.8283796740172579,.88179147,-.053411808,.031391222,.090360008
retained_any_renti,all2014,official2014prov,1043,1362,.1418983700862896,.15271659,-.010818223,.037304159,.7721076
retained_any_renti,riskset2014,Cert_h,1043,1362,0,0,0,0,
retained_any_renti,riskset2014,admin_start_by2014,1043,1362,.1112176414189837,.12334802,-.012130376,.033122614,.71457195
retained_any_renti,riskset2014,any_abandon,1028,1266,.1313229571984436,.14691943,-.015596475,.023691965,.5110935
retained_any_renti,riskset2014,any_rentin,1031,1258,.1348205625606207,.11844197,.016378591,.017691543,.35566166
retained_any_renti,riskset2014,asinh_abandon,1026,1265,.208204290490767,.22994241,-.021738121,.053734854,.68624061
retained_any_renti,riskset2014,asinh_land_total,978,1273,2.159159664217251,2.1337895,.025370236,.082141832,.75774407
retained_any_renti,riskset2014,asinh_rentin,1031,1258,.2656771925632618,.22070952,.044967666,.038200814,.24052517
retained_any_renti,riskset2014,base14_rg_readadjust,0,0,,,,,
retained_any_renti,riskset2014,cohort2016_completed,1043,1362,.1179290508149569,.071953014,.045976039,.028417155,.10721485
retained_any_renti,riskset2014,cohort2018_completed,1043,1362,.0536912751677852,.046255507,.0074357684,.012575656,.55497921
retained_any_renti,riskset2014,instab_high,1043,1278,.3662511984659635,.29420969,.072041497,.052836504,.17425658
retained_any_renti,riskset2014,land_mu_base,978,1273,721.3277556237219,1262.4387,-541.11102,459.80838,.24063925
retained_any_renti,riskset2014,never_completed_base,1043,1362,.8283796740172579,.88179147,-.053411808,.031391222,.090360008
retained_any_renti,riskset2014,official2014prov,1043,1362,.1418983700862896,.15271659,-.010818223,.037304159,.7721076
retained_asinh_ren,all2014,Cert_h,1040,1365,0,0,0,0,
retained_asinh_ren,all2014,admin_start_by2014,1040,1365,.1115384615384615,.12307692,-.011538462,.033140473,.72806937
retained_asinh_ren,all2014,any_abandon,1025,1269,.1307317073170732,.14736013,-.016628418,.023652518,.4828468
retained_asinh_ren,all2014,any_rentin,1028,1261,.1352140077821012,.11816019,.017053818,.017683305,.33599746
retained_asinh_ren,all2014,asinh_abandon,1023,1268,.2079533024990297,.23009348,-.022140171,.053772666,.68096906
retained_asinh_ren,all2014,asinh_land_total,975,1276,2.158844189436031,2.1340902,.024754059,.082048282,.76318723
retained_asinh_ren,all2014,asinh_rentin,1028,1261,.2664525151096527,.22018445,.046268072,.038198609,.22721463
retained_asinh_ren,all2014,base14_rg_readadjust,0,0,,,,,
retained_asinh_ren,all2014,cohort2016_completed,1040,1365,.1182692307692308,.071794875,.04647436,.028477751,.10421704
retained_asinh_ren,all2014,cohort2018_completed,1040,1365,.0538461538461538,.046153847,.0076923077,.01261372,.54264218
retained_asinh_ren,all2014,instab_high,1040,1281,.3663461538461538,.29430133,.072044827,.052820481,.17410675
retained_asinh_ren,all2014,land_mu_base,975,1276,723.5256871794872,1259.4871,-535.96143,460.30948,.24564199
retained_asinh_ren,all2014,never_completed_base,1040,1365,.8278846153846153,.88205129,-.054166667,.031448442,.086498693
retained_asinh_ren,all2014,official2014prov,1040,1365,.1423076923076923,.15238096,-.01007326,.037326314,.78753024
retained_asinh_ren,riskset2014,Cert_h,1040,1365,0,0,0,0,
retained_asinh_ren,riskset2014,admin_start_by2014,1040,1365,.1115384615384615,.12307692,-.011538462,.033140473,.72806937
retained_asinh_ren,riskset2014,any_abandon,1025,1269,.1307317073170732,.14736013,-.016628418,.023652518,.4828468
retained_asinh_ren,riskset2014,any_rentin,1028,1261,.1352140077821012,.11816019,.017053818,.017683305,.33599746
retained_asinh_ren,riskset2014,asinh_abandon,1023,1268,.2079533024990297,.23009348,-.022140171,.053772666,.68096906
retained_asinh_ren,riskset2014,asinh_land_total,975,1276,2.158844189436031,2.1340902,.024754059,.082048282,.76318723
retained_asinh_ren,riskset2014,asinh_rentin,1028,1261,.2664525151096527,.22018445,.046268072,.038198609,.22721463
retained_asinh_ren,riskset2014,base14_rg_readadjust,0,0,,,,,
retained_asinh_ren,riskset2014,cohort2016_completed,1040,1365,.1182692307692308,.071794875,.04647436,.028477751,.10421704
retained_asinh_ren,riskset2014,cohort2018_completed,1040,1365,.0538461538461538,.046153847,.0076923077,.01261372,.54264218
retained_asinh_ren,riskset2014,instab_high,1040,1281,.3663461538461538,.29430133,.072044827,.052820481,.17410675
retained_asinh_ren,riskset2014,land_mu_base,975,1276,723.5256871794872,1259.4871,-535.96143,460.30948,.24564199
retained_asinh_ren,riskset2014,never_completed_base,1040,1365,.8278846153846153,.88205129,-.054166667,.031448442,.086498693
retained_asinh_ren,riskset2014,official2014prov,1040,1365,.1423076923076923,.15238096,-.01007326,.037326314,.78753024
