sample_scope,threshold,outcome,weight_spec,lower_b,lower_se,lower_p,diff_b,diff_se,diff_p,high_total_b,high_total_se,high_total_p,N,households,clusters,meandv
adjacent,completed_t,any_rentin,county_bal,-.000285008057298,.040984452,.99446195,.13075402,.06836009,.057933096,.13046902,.05484052,.018777801,2860,1430,134,.1395104895104895
adjacent,completed_t,any_rentin,ipw2014,-.0531119253368693,.054873496,.33489278,.1492279,.064775795,.022822907,.096115977,.034516189,.0061592418,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,ipw2014_simple,-.0518901145539819,.052897789,.32843918,.15854524,.062081244,.011808399,.10665514,.032936603,.0015267981,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,ipw_simple_x_count,.0036525465892723,.040797573,.92879969,.11672643,.07291548,.11183844,.12037898,.060560942,.048942477,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,ipw_x_county,.0030208030424625,.040370546,.94046748,.10219996,.072916739,.16341831,.10522076,.060745027,.085615009,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,overlap2014,-.058295997377083,.058881715,.32398757,.15573387,.067791991,.023203868,.097437866,.033705775,.0045044399,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,overlap_x_county,.002657028632997,.043825515,.95174903,.10600901,.074301042,.15604931,.10866603,.060019832,.072527438,2670,1335,131,.1382022471910112
adjacent,completed_t,any_rentin,unweighted,-.0548694622066243,.051563669,.28920662,.18723482,.060993627,.0025976531,.13236536,.032818571,.000092224167,2860,1430,134,.1395104895104895
adjacent,completed_t,asinh_rentin,county_bal,-.040589034611676,.079915434,.61236489,.38273609,.17319681,.028827148,.34214705,.15352164,.027515497,2854,1427,134,.2819085636692808
adjacent,completed_t,asinh_rentin,ipw2014,-.1280138403916553,.096430153,.1866602,.33671913,.13068768,.011096765,.20870529,.088608153,.020000057,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,ipw2014_simple,-.1114184247475973,.096051618,.24818091,.34140813,.13243471,.011053588,.22998971,.09223415,.013903063,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,ipw_simple_x_count,-.0320487016436702,.077357411,.67934167,.36418131,.1903017,.057856157,.33213261,.17397113,.058449838,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,ipw_x_county,-.068209101259373,.08178518,.40580902,.37424085,.18926716,.050121661,.30603173,.17047466,.07494922,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,overlap2014,-.1398895355399123,.1025402,.17484891,.34849814,.13485652,.010864208,.20860858,.08807081,.019325923,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,overlap_x_county,-.0627308586985443,.083455868,.4536112,.37376377,.19014797,.051470939,.31103292,.1707094,.070753291,2664,1332,131,.2761146246706699
adjacent,completed_t,asinh_rentin,unweighted,-.1116722728926038,.092983395,.23188898,.38665572,.13476372,.0047890497,.27498347,.098045476,.0057926327,2854,1427,134,.2819085636692808
adjacent,high_sat80_t,any_rentin,county_bal,-.0000974222302211,.040666591,.99809217,.12710568,.067516215,.061939802,.12700826,.053978514,.02009159,2860,1430,134,.1395104895104895
adjacent,high_sat80_t,any_rentin,ipw2014,-.0511444757310905,.05377743,.34334898,.14727592,.063918002,.022801021,.096131444,.034561113,.0062162811,2670,1335,131,.1382022471910112
adjacent,high_sat80_t,any_rentin,ipw2014_simple,-.0504199663483305,.052031972,.33433515,.15710698,.061424468,.011683477,.10668702,.032961674,.0015342168,2670,1335,131,.1382022471910112
adjacent,high_sat80_t,any_rentin,ipw_simple_x_count,.003671715465723,.040427409,.92777348,.11670664,.072723202,.11096309,.12037836,.060560156,.048940726,2670,1335,131,.1382022471910112
adjacent,high_sat80_t,any_rentin,ipw_x_county,.0030884899912494,.03996845,.93852502,.10213294,.072695851,.16242567,.10522143,.060743909,.085607335,2670,1335,131,.1382022471910112
