variable,exists,nonmissing,mean,sd,min,max
asinh_operated_area_end,1,119182,2.2595642,1.1162411,-.39003533,7.7186856
operated_area_end,1,119182,9.2817822,18.072336,-.40000001,1125
asinh_farm_income,1,128690,10.146683,1.7693781,-9.546813,24.119108
farm_income,1,128690,151459.83,41590776,-7000,14919901184
asinh_household_income_total,1,155840,11.269584,.87396413,0,17.504631
household_income_total,1,155840,59418.129,138256.81,0,20004820
farm_income_share,1,128682,2.333276,648.03021,-.13539653,232455.14
asinh_local_wage_income,1,61041,9.5980024,2.5943129,0,15.096444
local_wage_income,1,61041,20820.984,25181.416,0,1800000
local_wage_share,1,61041,.39613113,.29776898,0,4.9877748
asinh_migrant_wage_income,1,71550,10.145804,2.5039215,-10.709964,14.731801
migrant_wage_income,1,71550,29152.799,27862.367,-22400,1250000
migrant_wage_share,1,71549,.53288478,.28880352,-.46970016,7.5313807
transfer_in_area,1,12300,7.9329691,29.653353,0,1080
transfer_in_area_mu,0,,,,,
asinh_transfer_in_area,1,12300,1.3003098,1.4806702,0,7.6778636
transfer_out_area,1,24285,4.9007921,11.065018,0,675
transfer_out_area_mu,0,,,,,
asinh_transfer_out_area,1,24285,1.55054,1.1560421,0,7.2078605
idle_labor,0,,,,,
migrant_labor,0,,,,,
idle_labor_share,0,,,,,
migrant_labor_share,0,,,,,
