sample,spec,outcome,b,se,p,wild_p,N,households,counties,future_high_counties,control_counties,reps,status
countybal,linear_2009_2013,any_transfer_in,.0171004457175644,.0156518,.27610847,.4934935,4697,2701,174,5,169,999,ok
countybal,linear_2009_2013,any_transfer_in_zfill,.0062877100787675,.0020894397,.0029572996,.002002002,62909,13676,200,10,190,999,ok
countybal,linear_2009_2013,any_transfer_out_zfill,-.0053657067124244,.0070392294,.44680873,.44444445,62909,13676,200,10,190,999,ok
countybal,linear_2009_2013,asinh_farm_income,-.0794097728872457,.048043761,.099935442,.05005005,53583,12567,200,10,190,999,ok
countybal,linear_2009_2013,asinh_household_income_total,-.0594177361392268,.044468395,.18301666,.15315315,62786,13671,200,10,190,999,ok
countybal,linear_2009_2013,asinh_local_wage_income,.0155056705528608,.078598015,.84381121,.82782781,22123,8238,200,10,190,999,ok
countybal,linear_2009_2013,asinh_migrant_wage_income,.0323120618798991,.048662033,.50745273,.46546546,28973,8936,200,10,190,999,ok
countybal,linear_2009_2013,asinh_operated_area_end,.0239339567807609,.019905608,.2306698,.21721722,49909,11858,197,10,187,999,ok
countybal,linear_2009_2013,asinh_transfer_in_area,.1272482662642123,.040727708,.0020898266,.32332331,4697,2701,174,5,169,999,ok
countybal,linear_2009_2013,asinh_transfer_in_area_zfill,.0115692891104254,.0068570864,.093131356,.060060062,62909,13676,200,10,190,999,ok
countybal,linear_2009_2013,asinh_transfer_out_area_zfill,-.0143261061760687,.011307089,.20663531,.1941942,62909,13676,200,10,190,999,ok
countybal,linear_2009_2014,any_transfer_in,.0199215027574525,.013690463,.147433,.23323323,5986,3146,175,5,170,999,ok
countybal,linear_2009_2014,any_transfer_in_zfill,.0048537116271873,.0014424231,.00091847143,.001001001,75474,13819,200,10,190,999,ok
countybal,linear_2009_2014,any_transfer_out_zfill,-.0073807257569126,.0038354909,.055740431,.054054055,75474,13819,200,10,190,999,ok
countybal,linear_2009_2014,asinh_farm_income,-.0301397470329706,.024468521,.21948618,.24524525,63601,12727,200,10,190,999,ok
countybal,linear_2009_2014,asinh_household_income_total,-.0394065454994805,.028880453,.17396031,.18418418,75336,13814,200,10,190,999,ok
countybal,linear_2009_2014,asinh_local_wage_income,.0322277543110282,.052472681,.53979689,.5085085,27388,8880,200,10,190,999,ok
countybal,linear_2009_2014,asinh_migrant_wage_income,.0500700667329955,.048361871,.30177543,.31731731,34940,9422,200,10,190,999,ok
countybal,linear_2009_2014,asinh_operated_area_end,.0160948549522412,.021016233,.44469893,.52252251,59306,12102,197,10,187,999,ok
countybal,linear_2009_2014,asinh_transfer_in_area,.0328339633424975,.12413111,.79169977,.76276278,5986,3146,175,5,170,999,ok
countybal,linear_2009_2014,asinh_transfer_in_area_zfill,.0074136640741953,.0040715798,.070134267,.056056056,75474,13819,200,10,190,999,ok
countybal,linear_2009_2014,asinh_transfer_out_area_zfill,-.0196946190557792,.0081105921,.016060594,.022022022,75474,13819,200,10,190,999,ok
countybal,placebo_2013,any_transfer_in,.0764248972250635,.052207679,.14504601,.48748749,4697,2701,174,5,169,999,ok
countybal,placebo_2013,any_transfer_in_zfill,.0182948807750678,.0073917625,.014158204,.0090090092,62909,13676,200,10,190,999,ok
countybal,placebo_2013,any_transfer_out_zfill,-.0024335665688781,.020346377,.90491521,.92592591,62909,13676,200,10,190,999,ok
countybal,placebo_2013,asinh_farm_income,-.2652777626615619,.23724116,.26483914,.3073073,53583,12567,200,10,190,999,ok
countybal,placebo_2013,asinh_household_income_total,-.1756024014355055,.1667518,.29358292,.35435435,62786,13671,200,10,190,999,ok
countybal,placebo_2013,asinh_local_wage_income,.1449750616458174,.24040763,.54716974,.53253251,22123,8238,200,10,190,999,ok
