sample,spec,outcome,b,se,p,N,counties,future_high_counties,control_counties,status
countybal,linear_2009_2013,any_transfer_in,.0198525299688522,.012911649,.12598141,670,174,5,169,ok
countybal,linear_2009_2013,any_transfer_in_zfill,.0057117777132752,.0020140759,.0050414423,1000,200,10,190,ok
countybal,linear_2009_2013,any_transfer_out_zfill,-.0040448690326369,.0069436347,.56086981,1000,200,10,190,ok
countybal,linear_2009_2013,asinh_farm_income,-.0724198352689942,.051174268,.15858422,1000,200,10,190,ok
countybal,linear_2009_2013,asinh_household_income_total,-.0569146410013478,.045515753,.21260783,1000,200,10,190,ok
countybal,linear_2009_2013,asinh_local_wage_income,.0496521545765621,.077864006,.52441639,968,200,10,190,ok
countybal,linear_2009_2013,asinh_migrant_wage_income,.0519616449290219,.061091322,.39603779,988,200,10,190,ok
countybal,linear_2009_2013,asinh_operated_area_end,.0281876280309072,.018125543,.12152763,980,197,10,187,ok
countybal,linear_2009_2013,asinh_transfer_in_area,-.0238627862943736,.090271026,.79182798,670,174,5,169,ok
countybal,linear_2009_2013,asinh_transfer_in_area_zfill,.0107791589505584,.0066854972,.10847717,1000,200,10,190,ok
countybal,linear_2009_2013,asinh_transfer_out_area_zfill,-.0100735942992262,.011323808,.37475795,1000,200,10,190,ok
countybal,linear_2009_2014,any_transfer_in,.020997438347311,.013588184,.12409735,794,175,5,170,ok
countybal,linear_2009_2014,any_transfer_in_zfill,.0042786936041531,.0013860897,.0023110602,1200,200,10,190,ok
countybal,linear_2009_2014,any_transfer_out_zfill,-.0059364891565249,.0038886056,.1284391,1200,200,10,190,ok
countybal,linear_2009_2014,asinh_farm_income,-.0248639604389716,.028134966,.37790367,1199,200,10,190,ok
countybal,linear_2009_2014,asinh_household_income_total,-.037318578519906,.029376552,.20544229,1200,200,10,190,ok
countybal,linear_2009_2014,asinh_local_wage_income,.0555892716285974,.056266326,.32436854,1162,200,10,190,ok
countybal,linear_2009_2014,asinh_migrant_wage_income,.0795122798639226,.053931657,.14197685,1185,200,10,190,ok
countybal,linear_2009_2014,asinh_operated_area_end,.0200529492679635,.019714598,.31033006,1173,197,10,187,ok
countybal,linear_2009_2014,asinh_transfer_in_area,.0019550657477758,.10002846,.98442864,794,175,5,170,ok
countybal,linear_2009_2014,asinh_transfer_in_area_zfill,.0065401007262211,.0039568464,.099936768,1200,200,10,190,ok
countybal,linear_2009_2014,asinh_transfer_out_area_zfill,-.0153252807528043,.0084095495,.069900334,1200,200,10,190,ok
countybal,placebo_2013,any_transfer_in,.0866060630255267,.045216717,.057096757,670,174,5,169,ok
countybal,placebo_2013,any_transfer_in_zfill,.0172059507255767,.0072078486,.017917637,1000,200,10,190,ok
countybal,placebo_2013,any_transfer_out_zfill,-3.79359665051e-06,.019999828,.99984884,1000,200,10,190,ok
countybal,placebo_2013,asinh_farm_income,-.2208590622021419,.24501459,.36845902,1000,200,10,190,ok
countybal,placebo_2013,asinh_household_income_total,-.1716756630682277,.16793013,.30787814,1000,200,10,190,ok
countybal,placebo_2013,asinh_local_wage_income,.2107702657649169,.29479364,.47546205,968,200,10,190,ok
countybal,placebo_2013,asinh_migrant_wage_income,.2354533563199133,.1980561,.23592658,988,200,10,190,ok
countybal,placebo_2013,asinh_operated_area_end,.0562730065440216,.070060596,.42282936,980,197,10,187,ok
countybal,placebo_2013,asinh_transfer_in_area,-.100675870836563,.18879952,.59455031,670,174,5,169,ok
