group,sample,spec,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
high16_vs_never,countybal,linear_2009_2013,any_transfer_in_zfill,.0068273058871107,.0027048464,.012405222,61211,13325,194,4,190,ok
high16_vs_never,countybal,linear_2009_2013,asinh_farm_income,-.0243657271923612,.030061899,.41864049,52010,12231,194,4,190,ok
high16_vs_never,countybal,linear_2009_2013,asinh_household_income_total,-.0350869444345996,.010353187,.00085042126,61089,13320,194,4,190,ok
high16_vs_never,countybal,linear_2009_2013,asinh_operated_area_end,.0151117772605524,.011557749,.19262232,48433,11523,191,4,187,ok
high16_vs_never,countybal,linear_2009_2013,asinh_transfer_in_area_zfill,.0156888070816394,.0087457998,.074399687,61211,13325,194,4,190,ok
high16_vs_never,countybal,linear_2009_2014,any_transfer_in_zfill,.005377684274134,.002161033,.013675744,73436,13465,194,4,190,ok
high16_vs_never,countybal,linear_2009_2014,asinh_farm_income,.0039148145446629,.023328679,.86690748,61712,12385,194,4,190,ok
high16_vs_never,countybal,linear_2009_2014,asinh_household_income_total,-.0187719372012627,.012464989,.133709,73299,13460,194,4,190,ok
high16_vs_never,countybal,linear_2009_2014,asinh_operated_area_end,.0055784657357598,.02379949,.81493121,57529,11762,191,4,187,ok
high16_vs_never,countybal,linear_2009_2014,asinh_transfer_in_area_zfill,.0098519510735449,.0057817446,.089995094,73436,13465,194,4,190,ok
high16_vs_never,countybal,placebo_2013,any_transfer_in_zfill,.0136851464538318,.0085619194,.11159571,61211,13325,194,4,190,ok
high16_vs_never,countybal,placebo_2013,asinh_farm_income,.0372382993680312,.12136081,.7592963,52010,12231,194,4,190,ok
high16_vs_never,countybal,placebo_2013,asinh_household_income_total,-.0158518261491583,.057967652,.78479213,61089,13320,194,4,190,ok
high16_vs_never,countybal,placebo_2013,asinh_operated_area_end,.0329770829796802,.040879335,.42085186,48433,11523,191,4,187,ok
high16_vs_never,countybal,placebo_2013,asinh_transfer_in_area_zfill,.0319447873700743,.023204358,.17020863,61211,13325,194,4,190,ok
high16_vs_never,countybal,placebo_2013_14,any_transfer_in_zfill,.0133428166416951,.0082308212,.10663316,73436,13465,194,4,190,ok
high16_vs_never,countybal,placebo_2013_14,asinh_farm_income,.0847238051356237,.094294414,.37003708,61712,12385,194,4,190,ok
high16_vs_never,countybal,placebo_2013_14,asinh_household_income_total,-.0048055809425374,.052563794,.92725068,73299,13460,194,4,190,ok
high16_vs_never,countybal,placebo_2013_14,asinh_operated_area_end,.0072516621118401,.091082424,.93662608,57529,11762,191,4,187,ok
high16_vs_never,countybal,placebo_2013_14,asinh_transfer_in_area_zfill,.0221602270341925,.01920047,.24986574,73436,13465,194,4,190,ok
high16_vs_never,countybal,placebo_2014,any_transfer_in_zfill,.0099673136830746,.0072360029,.16996497,73436,13465,194,4,190,ok
