anchor,spec,model,outcome,b,se,p,N,households,counties,treated_counties,control_counties,status
future_completed,linear_2009_2013,prov_baseyear,any_transfer_in_zfill,.0011575105489773,.0027643666,.67572045,83626,19240,297,2,295,ok
future_completed,linear_2009_2013,prov_baseyear,asinh_operated_area_end,.062871629772581,.034547746,.069795609,66242,16016,296,2,294,ok
future_completed,linear_2009_2013,prov_baseyear,asinh_transfer_in_area_zfill,.0060477505905945,.0030351903,.047229532,83626,19240,297,2,295,ok
future_completed,linear_2009_2013,provyear,any_transfer_in_zfill,.0049064085923596,.0012641381,.0001253735,90146,21296,333,2,331,ok
future_completed,linear_2009_2013,provyear,asinh_operated_area_end,.0301551260680996,.032226264,.35011494,69434,17155,322,2,320,ok
future_completed,linear_2009_2013,provyear,asinh_transfer_in_area_zfill,.0071220945020134,.002711355,.0090197213,90146,21296,333,2,331,ok
future_completed,linear_2009_2013,yearfe,any_transfer_in_zfill,.00874639300224,.001181846,1.1216582e-12,90146,21296,333,2,331,ok
future_completed,linear_2009_2013,yearfe,asinh_operated_area_end,.0272635051427597,.008240791,.001044665,69436,17156,323,2,321,ok
future_completed,linear_2009_2013,yearfe,asinh_transfer_in_area_zfill,.0123809200162032,.0041515925,.0030734197,90146,21296,333,2,331,ok
future_completed,linear_2009_2014,prov_baseyear,any_transfer_in_zfill,-.0053250470498239,.002642358,.044780768,100031,19483,297,2,295,ok
future_completed,linear_2009_2014,prov_baseyear,asinh_operated_area_end,.0586532237854256,.037073288,.11470085,78691,16400,296,2,294,ok
future_completed,linear_2009_2014,prov_baseyear,asinh_transfer_in_area_zfill,-.0061230371827603,.0045862161,.18287092,100031,19483,297,2,295,ok
future_completed,linear_2009_2014,provyear,any_transfer_in_zfill,-.0018562359054395,.0010805033,.086732276,108738,21717,336,2,334,ok
future_completed,linear_2009_2014,provyear,asinh_operated_area_end,.0273485767599855,.030240934,.36647645,83203,17722,326,2,324,ok
future_completed,linear_2009_2014,provyear,asinh_transfer_in_area_zfill,-.003634008288112,.0029283904,.21548973,108738,21717,336,2,334,ok
future_completed,linear_2009_2014,yearfe,any_transfer_in_zfill,.0012850450445301,.0018003284,.47585794,108738,21717,336,2,334,ok
future_completed,linear_2009_2014,yearfe,asinh_operated_area_end,.0231877174600366,.0073668598,.0017988578,83204,17722,326,2,324,ok
future_completed,linear_2009_2014,yearfe,asinh_transfer_in_area_zfill,-.0003683544392847,.0038358429,.92355448,108738,21717,336,2,334,ok
future_completed,placebo_2013,prov_baseyear,any_transfer_in_zfill,-.0042407449657915,.014479673,.76982236,83626,19240,297,2,295,ok
future_completed,placebo_2013,prov_baseyear,asinh_operated_area_end,.0906627405548806,.078328244,.24801594,66242,16016,296,2,294,ok
future_completed,placebo_2013,prov_baseyear,asinh_transfer_in_area_zfill,-.0089427934943263,.018879579,.6360805,83626,19240,297,2,295,ok
future_completed,placebo_2013,provyear,any_transfer_in_zfill,.0065503210658044,.012881647,.61144024,90146,21296,333,2,331,ok
future_completed,placebo_2013,provyear,asinh_operated_area_end,.0732544027973372,.07373096,.32119688,69434,17155,322,2,320,ok
future_completed,placebo_2013,provyear,asinh_transfer_in_area_zfill,.00544821078439,.015868559,.73156476,90146,21296,333,2,331,ok
future_completed,placebo_2013,yearfe,any_transfer_in_zfill,.0208054796174063,.01329098,.11844566,90146,21296,333,2,331,ok
