anchor,spec,outcome,b,se,p,N,counties,treated_counties,control_counties,status
future_high,linear_2009_2013,any_transfer_in_zfill,.0029528372402407,.0030415738,.33242518,1361,298,17,281,ok
future_high,linear_2009_2013,asinh_operated_area_end,.0346878744108388,.0143355,.016132861,1348,298,17,281,ok
future_high,linear_2009_2013,asinh_transfer_in_area_zfill,.0032170131113347,.0041482961,.43865994,1361,298,17,281,ok
future_high,linear_2009_2014,any_transfer_in_zfill,.0017597450969286,.0017900716,.32637879,1625,298,17,281,ok
future_high,linear_2009_2014,asinh_operated_area_end,.0096416141915563,.019478763,.62097961,1604,298,17,281,ok
future_high,linear_2009_2014,asinh_transfer_in_area_zfill,.0032078270362961,.0031791474,.31378582,1625,298,17,281,ok
future_high,placebo_2013,any_transfer_in_zfill,.0077328853033332,.0079972316,.3343581,1361,298,17,281,ok
future_high,placebo_2013,asinh_operated_area_end,.0575772631479375,.040742241,.15864171,1348,298,17,281,ok
future_high,placebo_2013,asinh_transfer_in_area_zfill,.010175644589956,.011663062,.38365808,1361,298,17,281,ok
future_high,placebo_2013_14,any_transfer_in_zfill,.0049584798579954,.0059950538,.40884715,1625,298,17,281,ok
future_high,placebo_2013_14,asinh_operated_area_end,-.0015583204465184,.075613655,.98357141,1604,298,17,281,ok
future_high,placebo_2013_14,asinh_transfer_in_area_zfill,.0114931711388046,.010765168,.28655633,1625,298,17,281,ok
future_high,placebo_2014,any_transfer_in_zfill,.0016672463533022,.0069358679,.81020123,1625,298,17,281,ok
future_high,placebo_2014,asinh_operated_area_end,-.066332550501012,.12818159,.60520011,1604,298,17,281,ok
future_high,placebo_2014,asinh_transfer_in_area_zfill,.010577063452017,.013533079,.43508926,1625,298,17,281,ok
high17,linear_2009_2013,any_transfer_in_zfill,.0035884914401547,.0040827664,.38014635,1361,298,13,285,ok
high17,linear_2009_2013,asinh_operated_area_end,.0285688974264643,.016416248,.082845323,1348,298,13,285,ok
high17,linear_2009_2013,asinh_transfer_in_area_zfill,.002192817908253,.0053947526,.68468827,1361,298,13,285,ok
high17,linear_2009_2014,any_transfer_in_zfill,.0023976526408903,.002279087,.29364401,1625,298,13,285,ok
high17,linear_2009_2014,asinh_operated_area_end,.0133789596492511,.015315613,.38306889,1604,298,13,285,ok
high17,linear_2009_2014,asinh_transfer_in_area_zfill,.0041694029519239,.0040288316,.30156156,1625,298,13,285,ok
high17,placebo_2013,any_transfer_in_zfill,.0090278699356689,.010470049,.38924196,1361,298,13,285,ok
high17,placebo_2013,asinh_operated_area_end,.0587310552310872,.052339055,.26271489,1348,298,13,285,ok
high17,placebo_2013,asinh_transfer_in_area_zfill,.007402640835585,.013437405,.58211768,1361,298,13,285,ok
high17,placebo_2013_14,any_transfer_in_zfill,.0068090114486282,.0072933449,.35127255,1625,298,13,285,ok
high17,placebo_2013_14,asinh_operated_area_end,.0259036359743575,.052386411,.62133813,1604,298,13,285,ok
high17,placebo_2013_14,asinh_transfer_in_area_zfill,.0159171203677416,.012362178,.19889948,1625,298,13,285,ok
high17,placebo_2014,any_transfer_in_zfill,.0042100964925383,.0091227759,.64478284,1625,298,13,285,ok
high17,placebo_2014,asinh_operated_area_end,-.0113089016464896,.059189156,.84860617,1604,298,13,285,ok
high17,placebo_2014,asinh_transfer_in_area_zfill,.0220146076410242,.016941128,.19478804,1625,298,13,285,ok
