dataset,scope,variable,category,rows,households,counties,mean_rate,min_rate,max_rate
CLDS,all_current,signoff_or_issue_t_o,all,1431,1010,58,.9799928571428571,.97799999,.98110002
CLDS,all_current,signoff_or_issue_t_p,all,642,547,35,.9799928571428571,.97799999,.98110002
CLDS,all_current,completed_t_obs,all,2019,1489,88,.9125208333333333,.8215,.97799999
CLDS,all_current,completed_t_pos,all,976,857,58,.9125208333333333,.8215,.97799999
CLDS,all_current,sat50_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat50_t_pos,all,71,71,7,.8981281690140845,.81,.98110002
CLDS,all_current,sat70_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat70_t_pos,all,71,71,7,.8981281690140845,.81,.98110002
CLDS,all_current,sat80_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat80_t_pos,all,71,71,7,.8981281690140845,.81,.98110002
CLDS,all_current,sat90_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat90_t_pos,all,35,35,3,.9659942857142858,.91000003,.98110002
CLDS,all_current,sat95_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat95_t_pos,all,28,28,2,.9799928571428571,.97799999,.98110002
CLDS,all_current,sat99_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat99_t_pos,all,0,0,0,,,
CLDS,all_current,sat100_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,all_current,sat100_t_pos,all,0,0,0,,,
CLDS,all_current,complete_not_sat90,rows,7,,,,,
CLDS,all_current,complete_not_sat100,rows,24,,,,,
CLDS,all_current,sat90_not_complete,rows,0,,,,,
CLDS,mech,signoff_or_issue_t_o,all,1431,1010,58,.9799928571428571,.97799999,.98110002
CLDS,mech,signoff_or_issue_t_p,all,642,547,35,.9799928571428571,.97799999,.98110002
CLDS,mech,completed_t_obs,all,2019,1489,88,.9125208333333333,.8215,.97799999
CLDS,mech,completed_t_pos,all,976,857,58,.9125208333333333,.8215,.97799999
CLDS,mech,sat50_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat50_t_pos,all,71,71,7,.8981281690140845,.81,.98110002
CLDS,mech,sat70_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat70_t_pos,all,71,71,7,.8981281690140845,.81,.98110002
CLDS,mech,sat80_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat80_t_pos,all,71,71,7,.8981281690140845,.81,.98110002
CLDS,mech,sat90_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat90_t_pos,all,35,35,3,.9659942857142858,.91000003,.98110002
CLDS,mech,sat95_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat95_t_pos,all,28,28,2,.9799928571428571,.97799999,.98110002
CLDS,mech,sat99_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat99_t_pos,all,0,0,0,,,
CLDS,mech,sat100_t_obs,all,86,86,8,.7565825581395349,.086599998,.98110002
CLDS,mech,sat100_t_pos,all,0,0,0,,,
CLDS,mech,complete_not_sat90,rows,7,,,,,
CLDS,mech,complete_not_sat100,rows,24,,,,,
CLDS,mech,sat90_not_complete,rows,0,,,,,
CLDS,a3obs,signoff_or_issue_t_o,all,978,643,38,,,
CLDS,a3obs,signoff_or_issue_t_p,all,316,270,19,,,
CLDS,a3obs,completed_t_obs,all,1295,889,56,.86575,.8215,.91000003
CLDS,a3obs,completed_t_pos,all,428,376,30,.86575,.8215,.91000003
CLDS,a3obs,sat50_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat50_t_pos,all,43,43,5,.8448209302325581,.81,.91000003
CLDS,a3obs,sat70_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat70_t_pos,all,43,43,5,.8448209302325581,.81,.91000003
CLDS,a3obs,sat80_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat80_t_pos,all,43,43,5,.8448209302325581,.81,.91000003
CLDS,a3obs,sat90_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat90_t_pos,all,7,7,1,.91,.91000003,.91000003
CLDS,a3obs,sat95_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat95_t_pos,all,0,0,0,,,
CLDS,a3obs,sat99_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat99_t_pos,all,0,0,0,,,
CLDS,a3obs,sat100_t_obs,all,58,58,6,.6487293103448276,.086599998,.91000003
CLDS,a3obs,sat100_t_pos,all,0,0,0,,,
CLDS,a3obs,complete_not_sat90,rows,7,,,,,
CLDS,a3obs,complete_not_sat100,rows,14,,,,,
CLDS,a3obs,sat90_not_complete,rows,0,,,,,
CLDS,adjacent,signoff_or_issue_t_o,all,1123,770,58,.980108,.97799999,.98110002
CLDS,adjacent,signoff_or_issue_t_p,all,413,364,35,.980108,.97799999,.98110002
CLDS,adjacent,completed_t_obs,all,1539,1105,88,.9062250000000001,.8215,.97799999
CLDS,adjacent,completed_t_pos,all,648,579,58,.9062250000000001,.8215,.97799999
CLDS,adjacent,sat50_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat50_t_pos,all,62,62,7,.8978645161290323,.81,.98110002
CLDS,adjacent,sat70_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat70_t_pos,all,62,62,7,.8978645161290323,.81,.98110002
CLDS,adjacent,sat80_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat80_t_pos,all,62,62,7,.8978645161290323,.81,.98110002
CLDS,adjacent,sat90_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat90_t_pos,all,30,30,3,.9684233333333333,.91000003,.98110002
CLDS,adjacent,sat95_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat95_t_pos,all,25,25,2,.980108,.97799999,.98110002
CLDS,adjacent,sat99_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat99_t_pos,all,0,0,0,,,
CLDS,adjacent,sat100_t_obs,all,77,77,8,.7398259740259741,.086599998,.98110002
CLDS,adjacent,sat100_t_pos,all,0,0,0,,,
CLDS,adjacent,complete_not_sat90,rows,7,,,,,
CLDS,adjacent,complete_not_sat100,rows,20,,,,,
CLDS,adjacent,sat90_not_complete,rows,0,,,,,
FOBS,full,hybrid_rate_any_t_ob,all,11352,1952,31,.1300034802784223,0,1
FOBS,full,hybrid_rate_any_t_po,all,2586,723,23,.1300034802784223,0,1
FOBS,full,hybrid_rate_mid_t_ob,all,2586,723,23,.1300034802784223,0,1
FOBS,full,hybrid_rate_mid_t_po,all,369,307,19,.9110813008130082,.60000002,1
FOBS,full,hybrid_rate_high_t_o,all,2586,723,23,.1300034802784223,0,1
FOBS,full,hybrid_rate_high_t_p,all,301,293,18,.9568172757475083,.90399998,1
FOBS,overlap,hybrid_rate_any_t_ob,all,3708,501,30,.3285472481827622,0,1
FOBS,overlap,hybrid_rate_any_t_po,all,963,369,22,.3285472481827622,0,1
FOBS,overlap,hybrid_rate_mid_t_ob,all,963,369,22,.3285472481827622,0,1
FOBS,overlap,hybrid_rate_mid_t_po,all,349,287,18,.9065644699140402,.60000002,1
FOBS,overlap,hybrid_rate_high_t_o,all,963,369,22,.3285472481827622,0,1
FOBS,overlap,hybrid_rate_high_t_p,all,281,273,17,.9544626334519574,.90399998,1
FOBS,long,hybrid_rate_any_t_ob,all,2287,276,20,.3260682593856655,0,1
FOBS,long,hybrid_rate_any_t_po,all,586,217,15,.3260682593856655,0,1
FOBS,long,hybrid_rate_mid_t_ob,all,586,217,15,.3260682593856655,0,1
FOBS,long,hybrid_rate_mid_t_po,all,210,170,12,.9098857142857143,.71899998,1
FOBS,long,hybrid_rate_high_t_o,all,586,217,15,.3260682593856655,0,1
FOBS,long,hybrid_rate_high_t_p,all,178,170,12,.9422865168539326,.90399998,1
