year,rows,started,signaled,completed,sat50,sat70,sat80,sat90,sat95,sat100,mean_rate,min_rate,max_rate
2009,106,0,0,0,0,0,0,0,0,0,,,
2010,106,0,0,0,0,0,0,0,0,0,,,
2011,106,0,0,0,0,0,0,0,0,0,,,
2012,106,0,0,0,0,0,0,0,0,0,,,
2013,106,0,0,0,0,0,0,0,0,0,,,
2014,106,4,0,0,0,0,0,0,0,0,,,
2015,106,5,1,2,0,0,0,0,0,0,,,
2016,106,6,32,37,3,3,3,3,3,0,.7513999999999998,.0866,.978
2017,106,6,36,38,2,2,2,2,0,0,.90815,.9056000000000001,.9107
2018,106,6,50,80,10,9,8,3,1,0,.7801636363636363,.2343,.9811
2019,106,6,50,80,0,0,0,0,0,0,,,
2020,106,6,58,88,8,8,8,8,8,0,.976,.976,.976
2021,106,6,60,90,1,1,1,1,0,0,.9392499999999999,.9392499999999999,.9392499999999999
