threshold,outcome,b_low,se_low,p_low,b_diff,se_diff,p_diff,b_high,se_high,p_high,N,households,clusters
completed_t,any_rentin,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139
completed_t,asinh_rentin,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139
completed_t,asinh_land_total,.0343712222930906,.10232804,.73745841,-.053696856,.12605284,.67077631,-.019325634,.072066106,.78896958,2842,1421,140
satraw50_t,any_rentin,-.0437577286157869,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139
satraw50_t,asinh_rentin,-.0915733287114921,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139
satraw50_t,asinh_land_total,.0406348575315184,.10108232,.68830317,-.02935162,.12488247,.81452829,.011283237,.070116669,.87238938,2842,1421,140
satraw80_t,any_rentin,-.0437577286157869,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139
satraw80_t,asinh_rentin,-.0915733287114921,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139
satraw80_t,asinh_land_total,.0406348575315184,.10108232,.68830317,-.02935162,.12488247,.81452829,.011283237,.070116669,.87238938,2842,1421,140
satraw90_t,any_rentin,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139
satraw90_t,asinh_rentin,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139
satraw90_t,asinh_land_total,.0343712222930906,.10232804,.73745841,-.053696856,.12605284,.67077631,-.019325634,.072066106,.78896958,2842,1421,140
satraw95_t,any_rentin,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139
satraw95_t,asinh_rentin,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139
satraw95_t,asinh_land_total,.0343712222930906,.10232804,.73745841,-.053696856,.12605284,.67077631,-.019325634,.072066106,.78896958,2842,1421,140
