sample,outcome,spec,term,b,se,p,N,households,counties,treated_counties
full,any_transfer_in_zfill,stage,stage1_vs0,.010239252623976,.0070214705,.15515469,11307,1907,31,
full,any_transfer_in_zfill,stage,stage2_vs0,-.0286445000032163,.021102188,.1847728,11307,1907,31,
full,any_transfer_in_zfill,stage,stage3_minus_stage1,-.0174788052978918,.0099843591,.090233274,11307,1907,31,
full,any_transfer_in_zfill,stage,stage3_minus_stage2,.0214049473293005,.018931476,.26715925,11307,1907,31,
full,any_transfer_in_zfill,stage,stage3_vs0,-.0072395526739158,.013475112,.59505528,11307,1907,31,
full,any_transfer_in_zfill,threshold,hybrid_rate_any_t,-.012218468385219,.013093275,.35817406,11307,1907,31,23
full,any_transfer_in_zfill,threshold,hybrid_rate_high_t,.0265502613860526,.016628219,.15436392,2338,475,8,4
full,any_transfer_in_zfill,threshold,hybrid_rate_mid_t,.0077436207382331,.007914369,.36045954,2338,475,8,4
full,asinh_farm_income,stage,stage1_vs0,.5517559976014852,.091228366,1.2190465e-06,10069,1760,31,
full,asinh_farm_income,stage,stage2_vs0,.0025689095558522,.14003517,.98548532,10069,1760,31,
full,asinh_farm_income,stage,stage3_minus_stage1,-.2879665206983635,.11062912,.014226221,10069,1760,31,
full,asinh_farm_income,stage,stage3_minus_stage2,.2612205673472695,.13724627,.06663578,10069,1760,31,
full,asinh_farm_income,stage,stage3_vs0,.2637894769031217,.13351233,.057441849,10069,1760,31,
full,asinh_farm_income,threshold,hybrid_rate_any_t,.2029128475446416,.11861371,.097459517,10069,1760,31,23
full,asinh_farm_income,threshold,hybrid_rate_high_t,.1644363984135368,.057095449,.023650697,2043,412,8,4
full,asinh_farm_income,threshold,hybrid_rate_mid_t,.0909294181709735,.19263665,.65126884,2043,412,8,4
full,asinh_operated_area_end,stage,stage1_vs0,-.0182202978811116,.041041274,.66026413,8657,1591,31,
full,asinh_operated_area_end,stage,stage2_vs0,.0306989111578404,.059511688,.60974264,8657,1591,31,
full,asinh_operated_area_end,stage,stage3_minus_stage1,.0853485488590257,.041470014,.048361283,8657,1591,31,
full,asinh_operated_area_end,stage,stage3_minus_stage2,.0364293398200737,.063635513,.57127017,8657,1591,31,
full,asinh_operated_area_end,stage,stage3_vs0,.0671282509779141,.039247736,.097521357,8657,1591,31,
full,asinh_operated_area_end,threshold,hybrid_rate_any_t,.0518524110891499,.03562475,.15591191,8657,1591,31,23
