sample,outcome,spec,term,b,se,p,N,households,counties
full,any_transfer_in_zfill,fixed_threshold,completion_rate0,-.0124127503787413,.013956265,.38086298,11307,1907,31
full,any_transfer_in_zfill,fixed_threshold,mature_any,-.0122184683852188,.013093275,.35817406,11307,1907,31
full,any_transfer_in_zfill,fixed_threshold,mature_high,-.0058334014591579,.012577683,.64614606,11307,1907,31
full,any_transfer_in_zfill,fixed_threshold,mature_mid,-.0130366183844154,.013094982,.32743481,11307,1907,31
full,any_transfer_in_zfill,fixed_threshold,years_since_high,-.0044284848937103,.011735387,.70856136,11307,1907,31
full,any_transfer_in_zfill,stage,stage1_vs0,.0102392526239758,.0070214705,.15515469,11307,1907,31
full,any_transfer_in_zfill,stage,stage2_vs0,-.0286445000032158,.021102188,.1847728,11307,1907,31
full,any_transfer_in_zfill,stage,stage3_minus_stage1,-.0174788052978916,.0099843591,.090233274,11307,1907,31
full,any_transfer_in_zfill,stage,stage3_minus_stage2,.0214049473293,.018931476,.26715925,11307,1907,31
full,any_transfer_in_zfill,stage,stage3_vs0,-.0072395526739158,.013475112,.59505528,11307,1907,31
full,asinh_farm_income,fixed_threshold,completion_rate0,.1934407257408854,.13639906,.16643816,10069,1760,31
full,asinh_farm_income,fixed_threshold,mature_any,.2029128475446435,.11861371,.097459517,10069,1760,31
full,asinh_farm_income,fixed_threshold,mature_high,.2244436940926586,.1300052,.094557926,10069,1760,31
full,asinh_farm_income,fixed_threshold,mature_mid,.1671803038174289,.12285219,.18370531,10069,1760,31
full,asinh_farm_income,fixed_threshold,years_since_high,.1943246566306172,.12975121,.14466758,10069,1760,31
full,asinh_farm_income,stage,stage1_vs0,.5517559976014691,.091228366,1.2190465e-06,10069,1760,31
full,asinh_farm_income,stage,stage2_vs0,.0025689095558575,.14003517,.98548532,10069,1760,31
full,asinh_farm_income,stage,stage3_minus_stage1,-.287966520698326,.11062912,.014226221,10069,1760,31
full,asinh_farm_income,stage,stage3_minus_stage2,.2612205673472856,.13724627,.06663578,10069,1760,31
