outcome,spec,term,b,se,p,N,counties
any_transfer_in_zfill,county_agg_aw,completion_rate0,-.0103339637952393,.017089805,.54993433,238,31
any_transfer_in_zfill,county_agg_aw,mature_any,-.0080732911578994,.015860565,.61446416,238,31
any_transfer_in_zfill,county_agg_aw,mature_high,-.0078960777587521,.015432996,.61265135,238,31
any_transfer_in_zfill,county_agg_aw,mature_mid,-.0087862215178383,.015960004,.58604252,238,31
any_transfer_in_zfill,county_agg_aw,years_since_high,-.0064742400733365,.014235275,.65252537,238,31
any_transfer_in_zfill,county_agg_aw_stage,stage1_vs0,.0057562661335826,.0093482658,.54269832,238,31
any_transfer_in_zfill,county_agg_aw_stage,stage2_vs0,-.0098335666930298,.027310168,.72131759,238,31
any_transfer_in_zfill,county_agg_aw_stage,stage3_minus_stage1,-.0138235761660076,.013807928,.3247695,238,31
any_transfer_in_zfill,county_agg_aw_stage,stage3_minus_stage2,.0017662566606048,.025860205,.94599986,238,31
any_transfer_in_zfill,county_agg_aw_stage,stage3_vs0,-.008067310032425,.016438097,.62716055,238,31
asinh_farm_income,county_agg_aw,completion_rate0,.3027257835078074,.1964054,.13371944,238,31
asinh_farm_income,county_agg_aw,mature_any,.3236519903277592,.17076312,.067720875,238,31
asinh_farm_income,county_agg_aw,mature_high,.278203340473251,.18926224,.1519897,238,31
asinh_farm_income,county_agg_aw,mature_mid,.2833693829701269,.17497888,.11581708,238,31
asinh_farm_income,county_agg_aw,years_since_high,.2279688101114643,.18052843,.2163935,238,31
asinh_farm_income,county_agg_aw_stage,stage1_vs0,.5903284070903405,.1428103,.00026413516,238,31
asinh_farm_income,county_agg_aw_stage,stage2_vs0,.2435869107834611,.22804606,.29397395,238,31
asinh_farm_income,county_agg_aw_stage,stage3_minus_stage1,-.2496224257237624,.151903,.11076216,238,31
asinh_farm_income,county_agg_aw_stage,stage3_minus_stage2,.097119070583117,.23443577,.68162555,238,31
asinh_farm_income,county_agg_aw_stage,stage3_vs0,.3407059813665781,.19571728,.091966286,238,31
asinh_operated_area_end,county_agg_aw,completion_rate0,.2924367932342993,.14998469,.06060341,226,31
asinh_operated_area_end,county_agg_aw,mature_any,.2740489963006305,.12861596,.041421652,226,31
asinh_operated_area_end,county_agg_aw,mature_high,.2500872368239485,.14161226,.087572142,226,31
asinh_operated_area_end,county_agg_aw,mature_mid,.277280056464781,.13324791,.046075612,226,31
asinh_operated_area_end,county_agg_aw,years_since_high,.2139200899057547,.13237813,.11656841,226,31
asinh_operated_area_end,county_agg_aw_stage,stage1_vs0,.0940903094781878,.06689965,.16986836,226,31
asinh_operated_area_end,county_agg_aw_stage,stage2_vs0,.2901183594222024,.13431996,.038896747,226,31
asinh_operated_area_end,county_agg_aw_stage,stage3_minus_stage1,.1858331146974578,.13919471,.19190036,226,31
asinh_operated_area_end,county_agg_aw_stage,stage3_minus_stage2,-.0101949352465568,.10831825,.92563951,226,31
asinh_operated_area_end,county_agg_aw_stage,stage3_vs0,.2799234241756456,.14676459,.066097297,226,31
asinh_transfer_in_area_z,county_agg_aw,completion_rate0,-.0383714660958083,.028234001,.18426038,238,31
asinh_transfer_in_area_z,county_agg_aw,mature_any,-.0293221148250841,.02537092,.2569105,238,31
asinh_transfer_in_area_z,county_agg_aw,mature_high,-.0384051721818662,.028004155,.1804186,238,31
asinh_transfer_in_area_z,county_agg_aw,mature_mid,-.0311837831699692,.025814757,.23649068,238,31
asinh_transfer_in_area_z,county_agg_aw,years_since_high,-.0349163464253795,.026165526,.1921003,238,31
asinh_transfer_in_area_z,county_agg_aw_stage,stage1_vs0,.0035095344927791,.013152009,.79141504,238,31
asinh_transfer_in_area_z,county_agg_aw_stage,stage2_vs0,-.0084507664238031,.043369692,.84682071,238,31
asinh_transfer_in_area_z,county_agg_aw_stage,stage3_minus_stage1,-.0421587073889653,.024156449,.091180526,238,31
asinh_transfer_in_area_z,county_agg_aw_stage,stage3_minus_stage2,-.0301984064723831,.046850249,.52410251,238,31
asinh_transfer_in_area_z,county_agg_aw_stage,stage3_vs0,-.0386491728961862,.029092774,.19403733,238,31
farm_income_share,county_agg_aw,completion_rate0,.0378179473493004,.039923966,.35107994,238,31
farm_income_share,county_agg_aw,mature_any,.0487835224579415,.034832921,.17162208,238,31
farm_income_share,county_agg_aw,mature_high,.0419735874735333,.038322616,.28211415,238,31
farm_income_share,county_agg_aw,mature_mid,.034119436690842,.035737753,.3473511,238,31
farm_income_share,county_agg_aw,years_since_high,.0326448932218505,.038783111,.40659937,238,31
farm_income_share,county_agg_aw_stage,stage1_vs0,.1878510723166076,.027726697,1.6349878e-07,238,31
farm_income_share,county_agg_aw_stage,stage2_vs0,.0082787180222662,.052597351,.8759858,238,31
farm_income_share,county_agg_aw_stage,stage3_minus_stage1,-.1306850732942704,.029032329,.00009483051,238,31
farm_income_share,county_agg_aw_stage,stage3_minus_stage2,.048887281000071,.052959371,.36331561,238,31
farm_income_share,county_agg_aw_stage,stage3_vs0,.0571659990223372,.038552448,.14855455,238,31
