sample,outcome,future_group,b_pretrend,se_pretrend,p_pretrend,N,households,counties
full,any_transfer_in_zfill,ever_high,.000770492791376,.0030792756,.80418229,8947,1877,30
full,any_transfer_in_zfill,ever_mid,.0007514782349233,.0032430335,.8183822,8947,1877,30
full,asinh_farm_income,ever_high,-.0475364767784773,.025526408,.072728947,8081,1726,30
full,asinh_farm_income,ever_mid,-.0571056420257877,.024946885,.029544022,8081,1726,30
full,asinh_operated_area_end,ever_high,-.0059449604119583,.013157089,.65486175,6969,1533,29
full,asinh_operated_area_end,ever_mid,-.0078168989641164,.012637932,.5412277,6969,1533,29
full,asinh_transfer_in_area_z,ever_high,.0009053315721965,.0053835851,.86762065,8947,1877,30
full,asinh_transfer_in_area_z,ever_mid,.0018985314553106,.0056267236,.73823541,8947,1877,30
long,any_transfer_in_zfill,ever_high,.0034526837468175,.0033331562,.31327215,1512,276,20
long,any_transfer_in_zfill,ever_mid,.0034526837468175,.0033331562,.31327215,1512,276,20
long,asinh_farm_income,ever_high,-.0523154456251403,.01577099,.0036222381,1359,254,20
long,asinh_farm_income,ever_mid,-.0523154456251403,.01577099,.0036222381,1359,254,20
long,asinh_operated_area_end,ever_high,-.0013333908520807,.020791095,.94953442,1178,224,20
long,asinh_operated_area_end,ever_mid,-.0013333908520807,.020791095,.94953442,1178,224,20
long,asinh_transfer_in_area_z,ever_high,.0008577939128076,.0041261571,.83752567,1512,276,20
long,asinh_transfer_in_area_z,ever_mid,.0008577939128076,.0041261571,.83752567,1512,276,20
overlap,any_transfer_in_zfill,ever_high,.0024640969314588,.0039599841,.53864014,2438,497,30
overlap,any_transfer_in_zfill,ever_mid,.0011634828331396,.0040456359,.77570611,2438,497,30
overlap,asinh_farm_income,ever_high,-.0418994580809556,.016429324,.016306529,2220,463,30
overlap,asinh_farm_income,ever_mid,-.0512745424736177,.014869207,.0017454963,2220,463,30
overlap,asinh_operated_area_end,ever_high,-.0035775554254432,.015776834,.82225776,1904,413,29
overlap,asinh_operated_area_end,ever_mid,-.0017202930331842,.015533968,.9126094,1904,413,29
overlap,asinh_transfer_in_area_z,ever_high,.0002415122357928,.0054901992,.96521413,2438,497,30
overlap,asinh_transfer_in_area_z,ever_mid,-.0016831773924532,.0056683887,.768628,2438,497,30
