sample,outcome,term,b,se,p,N,households,counties
full,asinh_farm_income,event0_high,.1799924117198012,.10573082,.09902896,10069,1760,31
full,asinh_farm_income,lag1_high,-.0153281937698952,.21504705,.94364929,10069,1760,31
full,asinh_farm_income,lag2p_high,0,0,,10069,1760,31
full,asinh_farm_income,lead2p_high,-.0960724662586279,.079035223,.23363014,10069,1760,31
full,asinh_operated_area_end,event0_high,-.0059297058904373,.043504469,.89249384,8657,1591,31
full,asinh_operated_area_end,lag1_high,.0110658342811615,.057973612,.84990782,8657,1591,31
full,asinh_operated_area_end,lag2p_high,0,0,,8657,1591,31
full,asinh_operated_area_end,lead2p_high,-.1255784171307741,.049327862,.016278947,8657,1591,31
long,asinh_farm_income,event0_high,.1056541536515262,.19670115,.59741241,1987,259,20
long,asinh_farm_income,lag1_high,-.127421544270979,.29378974,.6693787,1987,259,20
long,asinh_farm_income,lag2p_high,0,0,,1987,259,20
long,asinh_farm_income,lead2p_high,-.0556045650807792,.15457468,.72301924,1987,259,20
long,asinh_operated_area_end,event0_high,.0806741907827462,.050967682,.12995937,1710,231,20
long,asinh_operated_area_end,lag1_high,.091307349335164,.072785884,.22488646,1710,231,20
long,asinh_operated_area_end,lag2p_high,0,0,,1710,231,20
long,asinh_operated_area_end,lead2p_high,-.0797145876874432,.070293665,.27089119,1710,231,20
overlap,asinh_farm_income,event0_high,.1313009900279323,.095883831,.18139403,3285,471,30
overlap,asinh_farm_income,lag1_high,-.0762586384301722,.20764513,.71609563,3285,471,30
overlap,asinh_farm_income,lag2p_high,0,0,,3285,471,30
overlap,asinh_farm_income,lead2p_high,-.1835689374209612,.12337352,.14756818,3285,471,30
overlap,asinh_operated_area_end,event0_high,.0085198518723672,.040626552,.83541137,2811,437,29
overlap,asinh_operated_area_end,lag1_high,.0165809901370609,.062719159,.793432,2811,437,29
overlap,asinh_operated_area_end,lag2p_high,0,0,,2811,437,29
overlap,asinh_operated_area_end,lead2p_high,-.1163888147065987,.064547807,.082138538,2811,437,29
