threshold,outcome,spec,b_low,se_low,p_low,b_diff,se_diff,p_diff,b_high,se_high,p_high,N,households,clusters,meandv
completed_t,any_rentin,drop_early_signal_controls,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139,.1402116402116402
completed_t,any_rentin,stacked,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139,.1402116402116402
high_sat70_t,any_rentin,stacked,-.0437577286157869,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139,.1402116402116402
high_sat80_t,any_rentin,stacked,-.0437577286157869,.049607392,.37926695,.20998295,.061743081,.00087872683,.16622521,.036875464,.000013859674,3024,1512,139,.1402116402116402
high_sat90_t,any_rentin,stacked,-.04546509063241,.050589878,.37037823,.21571271,.063306563,.00085961481,.17024761,.038129225,.000016507765,3024,1512,139,.1402116402116402
signoff_or_issue_t,any_rentin,stacked,-.0699385370602433,.056207683,.21550287,.19495177,.064570405,.0030198176,.12501323,.033003304,.00022602869,3036,1518,139,.1396574440052701
completed_t,asinh_land_total,drop_early_signal_controls,.0343712222930906,.10232804,.73745841,-.053696856,.12605284,.67077631,-.019325634,.072066106,.78896958,2842,1421,140,2.131481286342606
completed_t,asinh_land_total,stacked,.0343712222930906,.10232804,.73745841,-.053696856,.12605284,.67077631,-.019325634,.072066106,.78896958,2842,1421,140,2.131481286342606
high_sat70_t,asinh_land_total,stacked,.0406348575315184,.10108232,.68830317,-.02935162,.12488247,.81452829,.011283237,.070116669,.87238938,2842,1421,140,2.131481286342606
high_sat80_t,asinh_land_total,stacked,.0406348575315184,.10108232,.68830317,-.02935162,.12488247,.81452829,.011283237,.070116669,.87238938,2842,1421,140,2.131481286342606
high_sat90_t,asinh_land_total,stacked,.0343712222930906,.10232804,.73745841,-.053696856,.12605284,.67077631,-.019325634,.072066106,.78896958,2842,1421,140,2.131481286342606
signoff_or_issue_t,asinh_land_total,stacked,.037266687074357,.10363577,.71969736,-.10907345,.10321348,.29244739,-.071806759,.057423372,.21322535,2854,1427,140,2.126136085556845
completed_t,asinh_rentin,drop_early_signal_controls,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139,.2931556382874959
completed_t,asinh_rentin,stacked,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139,.2931556382874959
high_sat70_t,asinh_rentin,stacked,-.0915733287114921,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139,.2931556382874959
high_sat80_t,asinh_rentin,stacked,-.0915733287114921,.08696688,.29419592,.4551743,.15507732,.0039064805,.36360097,.12858257,.0053856312,3018,1509,139,.2931556382874959
high_sat90_t,asinh_rentin,stacked,-.095079851714146,.088666543,.28544319,.46657214,.16005264,.0041503147,.3714923,.13347198,.0061357827,3018,1509,139,.2931556382874959
signoff_or_issue_t,asinh_rentin,stacked,-.1303934530515984,.10161091,.20155104,.39272419,.1462348,.0081289839,.26233074,.10767097,.016108165,3030,1515,139,.2919946258586346
