measure,outcome,spec,b_low,se_low,p_low,b_diff,se_diff,p_diff,b_high,se_high,p_high,N,households,clusters,meandv
county_sat_t,any_rentin,FE_year,.0242549675327085,.056662347,.67096114,.18233758,.050328594,.00082988996,.20659256,.0496163,.00016728677,703,326,40,.1493598862019915
county_sat_t,any_rentin,FE_year_provtrend,.0204985706467946,.057669569,.72416884,.17583112,.042726211,.00019369775,.1963297,.059867349,.0021941895,703,326,40,.1493598862019915
stage_index,any_rentin,FE_year,-.0112375314924665,.021679454,.60877222,.079352207,.018874198,.00029275936,.068114676,.02002098,.0022546258,535,249,26,.1588785046728972
stage_index,any_rentin,FE_year_provtrend,-.0209077434315969,.019965731,.3050352,.062732033,.015262797,.00037321771,.041824289,.02269065,.077181734,535,249,26,.1588785046728972
years_since_complete,any_rentin,FE_year,-.0763752396725311,.048015971,.11854471,.095754266,.042092148,.02762132,.019379029,.028081531,.4935993,829,385,47,.1375150784077201
years_since_complete,any_rentin,FE_year_provtrend,-.1564910360281039,.054304477,.0059911944,.086562917,.040332027,.037160769,-.069928117,.0410017,.094847485,829,385,47,.1375150784077201
county_sat_t,asinh_land_total,FE_year,.4088770904870426,.29492855,.17351219,.022411713,.10135738,.8261559,.43128881,.3245019,.19154519,684,317,40,2.143494657556764
county_sat_t,asinh_land_total,FE_year_provtrend,.3831717077513419,.29918161,.20785184,-.16746028,.13066471,.20754938,.21571143,.23543543,.36518076,684,317,40,2.143494657556764
stage_index,asinh_land_total,FE_year,.1959533683753242,.14622688,.19227801,.0025991665,.041327275,.95035243,.19855253,.17231503,.26011211,516,240,26,2.189348291864804
stage_index,asinh_land_total,FE_year_provtrend,.1807715701652872,.15289043,.24818662,-.07205271,.047085676,.13851213,.10871886,.16392933,.51326817,516,240,26,2.189348291864804
years_since_complete,asinh_land_total,FE_year,.1214730691251868,.094482392,.20499346,.036017194,.094038501,.70348048,.15749027,.088370308,.081323996,812,377,47,2.049236299263338
years_since_complete,asinh_land_total,FE_year_provtrend,-.064119948078356,.15004127,.67111921,.056415614,.10479084,.5929215,-.0077043334,.19508189,.9686684,812,377,47,2.049236299263338
county_sat_t,asinh_rentin,FE_year,.0368493901254986,.10246035,.72105253,.3815915,.093760088,.00022209638,.41844088,.097202308,.00010892442,703,326,40,.2915948522939819
county_sat_t,asinh_rentin,FE_year_provtrend,.0183327228845145,.10836907,.86653787,.40051731,.11167175,.0009216012,.41885003,.16413704,.014748082,703,326,40,.2915948522939819
stage_index,asinh_rentin,FE_year,-.0242929271244879,.037492964,.52293497,.16076772,.037541669,.00023925392,.1364748,.040061437,.0022296398,535,249,26,.290161008194826
stage_index,asinh_rentin,FE_year_provtrend,-.0496336196242887,.037425194,.19676003,.13249223,.034234297,.00069102272,.0828586,.05117156,.1179455,535,249,26,.290161008194826
years_since_complete,asinh_rentin,FE_year,-.1189546386658641,.075174846,.12041659,.23327215,.091584153,.014272117,.11431751,.077146299,.14520463,827,384,47,.2674317625763477
years_since_complete,asinh_rentin,FE_year_provtrend,-.2633048204303809,.089098588,.0049135066,.2104076,.081004187,.012571026,-.052897215,.08588738,.54100257,827,384,47,.2674317625763477
