outcome,spec,contrast,b,se,p,N,households,clusters,meandv
any_rentin,FE_year,DDD_stage3_minus_lower,.2389994869129328,.05627637,.00022965999,547,255,28,.1553930530164534
any_rentin,FE_year,high_stage3_vs0,.2022782685514767,.059150372,.0020066767,547,255,28,.1553930530164534
any_rentin,FE_year,lower_stage3_vs0,-.036721218361456,.06348706,.56778461,547,255,28,.1553930530164534
any_rentin,FE_year_provtrend,DDD_stage3_minus_lower,.1881960979818654,.045758028,.00032813192,547,255,28,.1553930530164534
any_rentin,FE_year_provtrend,high_stage3_vs0,.1254728676870863,.068026803,.076114431,547,255,28,.1553930530164534
any_rentin,FE_year_provtrend,lower_stage3_vs0,-.062723230294779,.059857469,.30398571,547,255,28,.1553930530164534
asinh_land_total,FE_year,DDD_stage3_minus_lower,.0125831927980317,.12554266,.92090195,528,246,28,2.159140702643532
asinh_land_total,FE_year,high_stage3_vs0,.589227300899536,.51408273,.26178092,528,246,28,2.159140702643532
asinh_land_total,FE_year,lower_stage3_vs0,.5766441081015043,.43410957,.19518596,528,246,28,2.159140702643532
asinh_land_total,FE_year_provtrend,DDD_stage3_minus_lower,-.2161581198663164,.14116639,.13734663,528,246,28,2.159140702643532
asinh_land_total,FE_year_provtrend,high_stage3_vs0,.3261565906291634,.49147242,.51255333,528,246,28,2.159140702643532
asinh_land_total,FE_year_provtrend,lower_stage3_vs0,.5423147104954797,.458377,.24707511,528,246,28,2.159140702643532
asinh_rentin,FE_year,DDD_stage3_minus_lower,.483526996686494,.11252035,.00020077918,547,255,28,.2837955016165117
asinh_rentin,FE_year,high_stage3_vs0,.4067430642215603,.11890155,.002000995,547,255,28,.2837955016165117
asinh_rentin,FE_year,lower_stage3_vs0,-.0767839324649337,.10999642,.49110931,547,255,28,.2837955016165117
asinh_rentin,FE_year_provtrend,DDD_stage3_minus_lower,.3974766673786326,.10263478,.00061914691,547,255,28,.2837955016165117
asinh_rentin,FE_year_provtrend,high_stage3_vs0,.248575808505801,.15341288,.11678904,547,255,28,.2837955016165117
asinh_rentin,FE_year_provtrend,lower_stage3_vs0,-.1489008588728316,.11220112,.19559324,547,255,28,.2837955016165117
