estimator,scope,sample,threshold,threshold_var,outcome,outcome_label,row,contrast,att,se,p,inference,boot_reps,raw_obs,raw_households,raw_counties,raw_county_cohort_counts,validator_drop_always_entities,validator_ignore_after_entities,valid_obs,valid_households,valid_counties,ci_low,ci_high
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.0804435529037781,0.046124867233873844,0.08115234404487676,analytic subgroup SE from differences,0,5144,3460,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5011,3347,214,,
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.08024782821661125,0.06620639729964277,0.2254795724263211,analytic subgroup SE from differences,0,5144,3460,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5011,3347,214,,
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.16069138112038933,0.07976813290825402,0.04395906695531633,direct county-cluster multiplier bootstrap for sample-split difference,999,5144,3460,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5011,3347,214,0.0305620462487268,0.29082071599205184
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.16599388629043907,0.08837209364665173,0.060333046730410976,analytic subgroup SE from differences,0,5138,3457,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5005,3344,214,,
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.22770728561373588,0.22710625821494942,0.3160314713636904,analytic subgroup SE from differences,0,5138,3457,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5005,3344,214,,
CS group-time ATT,mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,High - lower,high-minus-lower ATT,0.393701171904175,0.12535290682182024,0.00168520266588282,direct county-cluster multiplier bootstrap for sample-split difference,999,5138,3457,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5005,3344,214,0.15950289141141416,0.6278994523969358
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,Lower baseline insecurity,subgroup ATT,-0.07187286381257421,0.03917548571925679,0.06655923441950515,analytic subgroup SE from differences,0,5144,3460,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4948,3287,214,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,High baseline insecurity,subgroup ATT,0.11147113079638243,0.056706993920715876,0.04932880549167939,analytic subgroup SE from differences,0,5144,3460,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4948,3287,214,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,High - lower,high-minus-lower ATT,0.18334399460895665,0.06668818585080394,0.005972771072072163,direct county-cluster multiplier bootstrap for sample-split difference,999,5144,3460,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4948,3287,214,0.07366307316999497,0.2930249160479183
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,Lower baseline insecurity,subgroup ATT,-0.1614938899093757,0.07567176595380827,0.032831595671106766,analytic subgroup SE from differences,0,5138,3457,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4942,3284,214,,
CS group-time ATT,mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,High baseline insecurity,subgroup ATT,0.29573055126403563,0.18727841359819145,0.11431409113296585,analytic subgroup SE from differences,0,5138,3457,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4942,3284,214,,
