scope,sample,threshold,threshold_var,outcome,outcome_label,contrast,event_time,att,se,p,ci_low,ci_high,inference,boot_reps,raw_obs,raw_households,raw_counties,raw_county_cohort_counts,validator_drop_always_entities,validator_ignore_after_entities,valid_obs,valid_households,valid_counties
mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,0.0,0.1812342788616803,0.05392328069685266,0.0007767056419392572,0.08087950069165249,0.2815890570317081,direct county-cluster multiplier bootstrap for sample-split event difference,999,5144,3460,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5011,3347,214
mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,2.0,0.14683937349188503,0.14392063538840996,0.30759559483187865,-0.12100641133137291,0.41468515831514297,direct county-cluster multiplier bootstrap for sample-split event difference,999,5144,3460,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5011,3347,214
mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,0.0,0.3596137313814144,0.11028985201736576,0.0011116737264787913,0.13424585596353453,0.5849816067992942,direct county-cluster multiplier bootstrap for sample-split event difference,999,5138,3457,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5005,3344,214
mechanism,Mechanism sample,Signoff/issuance,signoff_or_issue_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,2.0,0.43710705258086646,0.22321303142552024,0.05020061439162797,-0.019009677451857998,0.8932237826135909,direct county-cluster multiplier bootstrap for sample-split event difference,999,5138,3457,214,"{nan: 195, 2016.0: 15, 2018.0: 4}",113,90,5005,3344,214
mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,-2.0,-0.1874076355100561,0.10681674039370484,0.07934861319214001,-0.410163691355641,0.035348420335528846,direct county-cluster multiplier bootstrap for sample-split event difference,999,5144,3460,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4948,3287,214
mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,0.0,0.20247640969765113,0.04408211805688033,4.36575126312359e-06,0.11054738513205213,0.2944054342632501,direct county-cluster multiplier bootstrap for sample-split event difference,999,5144,3460,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4948,3287,214
mechanism,Mechanism sample,Completion,completed_t,any_rentin,Any rent-in,CS high-minus-lower event ATT,2.0,0.15173301087215638,0.13130700794629588,0.24786153643093117,-0.12209514646717337,0.42556116821148615,direct county-cluster multiplier bootstrap for sample-split event difference,999,5144,3460,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4948,3287,214
mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,-2.0,-0.5829457428892153,0.30789202590441034,0.05831204112440466,-1.2158301455931395,0.04993865981470891,direct county-cluster multiplier bootstrap for sample-split event difference,999,5138,3457,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4942,3284,214
mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,0.0,0.430592824726333,0.09370835929951932,4.326847433340331e-06,0.2379715353979318,0.6232141140547341,direct county-cluster multiplier bootstrap for sample-split event difference,999,5138,3457,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4942,3284,214
mechanism,Mechanism sample,Completion,completed_t,asinh_rentin,asinh rented-in area,CS high-minus-lower event ATT,2.0,0.49707301391773884,0.2121444699068922,0.019124907359800658,0.06100155110678568,0.933144476728692,direct county-cluster multiplier bootstrap for sample-split event difference,999,5138,3457,214,"{nan: 184, 2016.0: 17, 2018.0: 13}",173,157,4942,3284,214
