subset,k,farm_income_any_rentin_b,farm_income_any_rentin_se,farm_income_any_rentin_p,farm_income_any_rentin_first_stage_f,farm_income_any_rentin_partial_r2,farm_income_any_rentin_overid_p,farm_income_any_rentin_N,farm_income_any_rentin_clusters,farm_income_asinh_rentin_b,farm_income_asinh_rentin_se,farm_income_asinh_rentin_p,farm_income_asinh_rentin_first_stage_f,farm_income_asinh_rentin_partial_r2,farm_income_asinh_rentin_overid_p,farm_income_asinh_rentin_N,farm_income_asinh_rentin_clusters,baseline_bundle_any_rentin_b,baseline_bundle_any_rentin_se,baseline_bundle_any_rentin_p,baseline_bundle_any_rentin_first_stage_f,baseline_bundle_any_rentin_partial_r2,baseline_bundle_any_rentin_overid_p,baseline_bundle_any_rentin_N,baseline_bundle_any_rentin_clusters,baseline_bundle_asinh_rentin_b,baseline_bundle_asinh_rentin_se,baseline_bundle_asinh_rentin_p,baseline_bundle_asinh_rentin_first_stage_f,baseline_bundle_asinh_rentin_partial_r2,baseline_bundle_asinh_rentin_overid_p,baseline_bundle_asinh_rentin_N,baseline_bundle_asinh_rentin_clusters,Fmin,pmax_farm,pmax_base,overid_min,score
geo+rugged+area+workload,4,0.1649021305935845,0.09889280046813892,0.09541826740146964,23.025925162983935,0.45375424904320705,0.23810391711418122,2772,130,0.38286603946749015,0.20218023444979255,0.05826659557785563,23.0247804516754,0.45373322802200844,0.31252017624225237,2766,130,0.15295760232584363,0.10464780122556108,0.14383938889421577,25.864540356468776,0.4423705265655208,0.3166516992922517,2532,128,0.3552787735715362,0.1971524789271826,0.07153742045576372,25.865157432306138,0.442357232083755,0.441829355265949,2526,128,23.0247804516754,0.09541826740146964,0.14383938889421577,0.23810391711418122,8
geo+net+raw+costwork,4,0.18309118203092034,0.10189420490681583,0.07235541552412839,21.516118560312794,0.4485818114027782,0.3071868730025047,2772,130,0.42032389956579397,0.21880565176621009,0.0547327201144443,21.51647415778318,0.4485606869506318,0.09512700570503507,2766,130,0.16942507501128862,0.10749429118147882,0.11499563677982172,23.817777795872626,0.43572133327052387,0.4947613895963112,2532,128,0.38713790249243796,0.21008998032139645,0.06536928079079396,23.81796627461298,0.4357094433946467,0.30240620118326733,2526,128,21.516118560312794,0.07235541552412839,0.11499563677982172,0.09512700570503507,8
geo+net+workload+costwork,4,0.1830911820309025,0.10189420490681282,0.07235541552414793,21.516118559885854,0.448581811402778,0.3071868730025047,2772,130,0.4203238995657729,0.2188056517662019,0.05473272011444741,21.516474164696092,0.44856068695063256,0.09512700570502264,2766,130,0.16942507501130666,0.10749429118148908,0.11499563677981794,23.81777780807488,0.435721333270523,0.4947613895960491,2532,128,0.38713790249250934,0.21008998032142606,0.06536928079078219,23.81796627815993,0.43570944339464657,0.3024062011833688,2526,128,21.516118559885854,0.07235541552414793,0.11499563677981794,0.09512700570502264,8
geo+raw+dist+workload,4,0.18309118203092348,0.10189420490681277,0.07235541552411506,21.51611855640218,0.448581811402776,0.3071868730023889,2772,130,0.4203238995657132,0.21880565176617842,0.054732720114455624,21.516474164733857,0.44856068695062923,0.09512700570499666,2766,130,0.16942507501132548,0.10749429118149334,0.11499563677979197,23.817777801827248,0.43572133327052043,0.4947613895963112,2532,128,0.3871379024924785,0.21008998032141935,0.06536928079079507,23.817966277307317,0.4357094433946419,0.3024062011833688,2526,128,21.51611855640218,0.07235541552411506,0.11499563677979197,0.09512700570499666,8
geo+raw+dist+burden4,4,0.18309118203091979,0.10189420490681214,0.07235541552411906,21.5161185563731,0.44858181140277575,0.30718687300262115,2772,130,0.4203238995657162,0.21880565176618078,0.05473272011445651,21.516474164826327,0.4485606869506288,0.09512700570502264,2766,130,0.16942507501132698,0.107494291181493,0.11499563677978752,23.81777780212683,0.4357213332705203,0.4947613895963112,2532,128,0.3871379024924845,0.21008998032142018,0.06536928079079196,23.817966277603055,0.435709443394642,0.3024062011833001,2526,128,21.5161185563731,0.07235541552411906,0.11499563677978752,0.09512700570502264,8
geo+net+dist+burden4,4,0.18309118203092709,0.10189420490681529,0.0723554155241164,21.516118556365157,0.4485818114027771,0.3071868730025047,2772,130,0.4203238995657815,0.2188056517662005,0.05473272011444075,21.516474164964556,0.448560686950631,0.09512700570503507,2766,130,0.1694250750113131,0.10749429118148798,0.1149956367798004,23.817777802273355,0.4357213332705221,0.4947613895963112,2532,128,0.38713790249247915,0.21008998032141507,0.06536928079078907,23.81796627771738,0.43570944339464424,0.3024062011833688,2526,128,21.516118556365157,0.0723554155241164,0.1149956367798004,0.09512700570503507,8
net+dist+workload+costwork,4,0.18309118203092073,0.10189420490681518,0.07235541552412594,21.516118556361448,0.4485818114027763,0.3071868730025047,2772,130,0.42032389956573446,0.2188056517661842,0.05473272011444985,21.51647416497019,0.44856068695062956,0.09512700570502264,2766,130,0.16942507501131682,0.10749429118148787,0.11499563677979197,23.817777802253318,0.43572133327052154,0.4947613895961541,2532,128,0.38713790249247415,0.21008998032141207,0.06536928079078885,23.81796627759968,0.43570944339464346,0.3024062011834383,2526,128,21.516118556361448,0.07235541552412594,0.11499563677979197,0.09512700570502264,8
net+workload+costwork+burden4,4,0.1830911820309142,0.10189420490681309,0.07235541552413038,21.516118556297727,0.44858181140277653,0.3071868730025047,2772,130,0.42032389956572935,0.21880565176618483,0.054732720114453404,21.5164741649823,0.44856068695063034,0.09512700570503507,2766,130,0.16942507501133358,0.10749429118149587,0.11499563677978308,23.817777802229386,0.4357213332705214,0.4947613895961541,2532,128,0.3871379024924956,0.21008998032142603,0.06536928079079174,23.81796627769296,0.4357094433946431,0.3024062011834716,2526,128,21.516118556297727,0.07235541552413038,0.11499563677978308,0.09512700570503507,8
raw+dist+costwork+burden4,4,0.1830911820309197,0.10189420490681328,0.07235541552412239,21.516118556293065,0.44858181140277653,0.3071868730025047,2772,130,0.42032389956573746,0.21880565176618766,0.05473272011445207,21.51647416498423,0.44856068695063,0.09512700570503507,2766,130,0.1694250750113261,0.10749429118149183,0.11499563677978553,23.81777780228117,0.43572133327052165,0.4947613895961541,2532,128,0.38713790249248675,0.21008998032142184,0.06536928079079263,23.81796627770359,0.43570944339464335,0.3024062011834383,2526,128,21.516118556293065,0.07235541552412239,0.11499563677978553,0.09512700570503507,8
net+dist+workload+burden4,4,0.18309118203092065,0.10189420490681368,0.07235541552412195,21.51611855628903,0.4485818114027764,0.3071868730025047,2772,130,0.42032389956572863,0.2188056517661842,0.05473272011445318,21.516474165045224,0.44856068695063,0.09512700570502264,2766,130,0.16942507501132095,0.10749429118149079,0.11499563677979308,23.817777802304136,0.43572133327052154,0.4947613895961541,2532,128,0.3871379024924848,0.21008998032141935,0.06536928079079063,23.817966277695348,0.4357094433946431,0.3024062011834383,2526,128,21.51611855628903,0.07235541552412195,0.11499563677979308,0.09512700570502264,8
