bundle,outcome,stress,N,clusters,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
geo_area_rugged,any_rentin,baseline,2532.0,128.0,1.0,0.296009032752248,0.16334988869196718,0.0699681934393852,8.584647842811899,0.21881370822899704,0.018418518225848866,,
geo_area_rugged,any_rentin,direct_geo_dev_trends_plus_Z,2532.0,128.0,1.0,-0.004302495368314174,0.12360996374555769,0.9722336171458845,18.802255254327694,0.3506671575298018,0.9723619629977615,,
geo_area_rugged,asinh_rentin,baseline,2526.0,128.0,1.0,0.5278394567159304,0.2518124982357797,0.03606793994816582,8.585920432364002,0.21882199242149525,0.006487717145652788,,
geo_area_rugged,asinh_rentin,direct_geo_dev_trends_plus_Z,2526.0,128.0,1.0,0.09870718052220895,0.20440669622015706,0.6291695663109664,18.83749183719416,0.35090001210727695,0.6435345990370149,,
geo_plus_rawsurvey,any_rentin,baseline,2532.0,128.0,2.0,0.3077769249600196,0.15390193404343208,0.04551917126302363,9.311559219920255,0.24643439366432707,0.019671119106579864,0.8113174259475073,0.815693444048305
geo_plus_rawsurvey,any_rentin,direct_geo_dev_trends_plus_Z,2532.0,128.0,2.0,0.019591685335605433,0.11575735567166867,0.8656016817741252,21.324846935526185,0.3493666126222129,0.11269235054835222,0.05997690097277031,0.06516923076513848
geo_plus_rawsurvey,asinh_rentin,baseline,2526.0,128.0,2.0,0.6170689653642412,0.2591287568503711,0.017250633492559952,9.312957713847673,0.24646163517667852,0.004273127715342496,0.36493741480410313,0.1963303321764055
geo_plus_rawsurvey,asinh_rentin,direct_geo_dev_trends_plus_Z,2526.0,128.0,2.0,0.08773131746283576,0.2109546502370229,0.6774995581986913,21.372152087261966,0.34965991673806496,0.49779096342320006,0.20638273858341316,0.17894584893570054
survey_net_distance,any_rentin,baseline,2532.0,128.0,1.0,0.30299726793590837,0.15169123097514675,0.045775162774895684,9.112809149665242,0.2533535516972617,0.008000411162602207,,
survey_net_distance,any_rentin,direct_geo_dev_trends_plus_Z,2532.0,128.0,1.0,0.07108081425818691,0.11186072202480887,0.5251412710603844,16.16995039625331,0.3375239285113508,0.542715302810947,,
survey_net_distance,asinh_rentin,baseline,2526.0,128.0,1.0,0.6076967016926259,0.25604545141919566,0.017625458099437274,9.11379719811837,0.2533791749710891,0.0010605529357950868,,
survey_net_distance,asinh_rentin,direct_geo_dev_trends_plus_Z,2526.0,128.0,1.0,0.17017812130050636,0.22151356368284228,0.4423377993477611,16.21695479420249,0.3379851481157635,0.46416974752966034,,
