source,design,group,outcome,label,b,se,p,N,clusters,mean_y
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm dependence,any_rentin,Any rented-in land,0.18222554144884234,0.0664258585375085,0.006082652768640982,282,33,0.20945945945945946
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm dependence,asinh_rentin,asinh rented-in area,0.402371549309094,0.15248895969700574,0.00832263134429151,282,33,0.45358110112465727
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm dependence,rentin_mu,Rented-in area (mu),0.9441374159820756,0.6596598199360275,0.15235888282428867,282,33,2.076801801801802
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm dependence,rentin_and_farm_any,Rent-in and own-farm production,0.20164301717699767,0.06607942526846096,0.0022768209900575257,282,33,0.1981981981981982
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm income,any_rentin,Any rented-in land,0.2391304347826082,0.11961504915929577,0.045590309688148464,310,30,0.22469635627530365
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm income,asinh_rentin,asinh rented-in area,0.5964903209812898,0.2302388574558573,0.009576824134862194,310,30,0.46971976654385306
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm income,rentin_mu,Rented-in area (mu),1.422173913043475,0.8436588811385782,0.09184945411516843,310,30,1.9848178137651822
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: top baseline farm income,rentin_and_farm_any,Rent-in and own-farm production,0.15652173913043455,0.09316022142518343,0.09293107231633964,310,30,0.2125506072874494
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: no pre rent-in and top farm dependence,any_rentin,Any rented-in land,0.1080213903743317,0.054683368978608794,0.048223056288423244,230,28,0.048295454545454544
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: no pre rent-in and top farm dependence,asinh_rentin,asinh rented-in area,0.24830327352029624,0.18359572528352974,0.1762327359576622,230,28,0.08131419600394706
CLDS,high-insecurity villages only; household-stack and stack-year FE,recipient: no pre rent-in and top farm dependence,rentin_mu,Rented-in area (mu),0.7833155080213916,0.757747650747989,0.3012568321723176,230,28,0.15795454545454543
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: bottom baseline farm dependence,ib_nonfarm_curr_n,Current nonfarm workers,0.5928571428571429,0.174752946216403,0.0006924668851433158,370,35,1.1203252032520326
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: bottom baseline farm dependence,ib_nonfarm_curr_ge2,At least two nonfarm workers,0.1428571428571429,0.05335590900295354,0.007418756255436473,370,35,0.3056910569105691
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: bottom baseline farm dependence,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,0.17142857142857149,0.05895098521285142,0.003637659691161968,362,35,0.3015075376884422
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: bottom baseline farm dependence,asinh_rb_inc_farm_w99,asinh farm income,-2.1126227411196363,0.712622430620939,0.003031012128463646,368,35,2.6280659529464447
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: top baseline nonfarm labor,ib_nonfarm_curr_n,Current nonfarm workers,0.2907370517928284,0.1458753578262338,0.04625584476818381,538,43,1.2308598351001179
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: top baseline nonfarm labor,ib_nonfarm_curr_ge2,At least two nonfarm workers,0.15244023904382467,0.04971802551413483,0.0021687367214014677,538,43,0.30624263839811544
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: top baseline nonfarm labor,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,0.2509505703422058,0.10145099831494556,0.013375426867120805,520,40,0.2946859903381642
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: top baseline nonfarm labor,rb_farm_any,Any own-farm production,-0.3422476759628153,0.2057150161556411,0.09617278157686587,538,43,0.6576151121605667
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: top baseline nonfarm labor,asinh_rb_farm_cost_w99,asinh farm cost,-0.7853807444628393,0.40630965354773263,0.05324099318511075,310,33,7.629088861245515
CLDS,high-insecurity villages only; household-stack and stack-year FE,exit: top baseline nonfarm labor,asinh_rb_inc_farm_w99,asinh farm income,-2.1213272055839933,0.7585184792775648,0.005163195981130698,528,43,4.8727681072143785
