level,sample_scope,fe,family,outcome,label,controls,term,b,se,p,N,clusters,mean_y,status
village,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,none,high-minus-low differential,0.05336314697788383,0.07758056107321622,0.4915524572019052,432,149,0.12556595818638297,ok
village,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,none,high-instability total,0.07987444198700666,0.0725461035831299,0.2708895664115156,432,149,0.12556595818638297,ok
village,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,none,high-minus-low differential,-0.005744522972148801,0.08756940620056804,0.9476965625495075,420,146,0.12556595818638297,ok
village,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,none,high-instability total,-0.0480958432255489,0.12463233368786197,0.6995693896582371,420,146,0.12556595818638297,ok
village,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-minus-low differential,0.07616443581554383,0.1349646396617054,0.5725303713039445,368,130,0.12556595818638297,ok
village,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-instability total,0.10727243067026282,0.129633735892627,0.40795147470377513,368,130,0.12556595818638297,ok
village,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-minus-low differential,0.024000300938246663,0.1133504026368278,0.8323134132564598,350,125,0.12556595818638297,ok
village,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-instability total,-0.01125546132119272,0.15179635651367318,0.9408922807407453,350,125,0.12556595818638297,ok
village,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-minus-low differential,0.22085782043583146,0.23925682678652532,0.355955435202967,432,149,0.28975631545991604,ok
village,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-instability total,0.26979789983441427,0.23402886333306433,0.2489759488349842,432,149,0.28975631545991604,ok
village,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-minus-low differential,0.08651971232586819,0.2315088901351487,0.7086119693086608,420,146,0.28975631545991604,ok
village,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-instability total,0.04065937517290913,0.27410543594860504,0.8820785522675676,420,146,0.28975631545991604,ok
village,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-minus-low differential,0.39925341688256677,0.46367736407868626,0.3892057277316968,368,130,0.28975631545991604,ok
village,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-instability total,0.4364896444600407,0.45786383981014206,0.34042919049637177,368,130,0.28975631545991604,ok
village,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-minus-low differential,0.3102045690074091,0.33570545384939765,0.35546657360331313,350,125,0.28975631545991604,ok
village,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-instability total,0.29386506332246626,0.37433008037977034,0.4324285862440316,350,125,0.28975631545991604,ok
village,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-minus-low differential,-0.07654801158509253,0.12628800925610084,0.5444228551041299,432,149,0.13488740745311364,ok
village,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-instability total,-0.10449497570350741,0.12173852873818271,0.39069601046180347,432,149,0.13488740745311364,ok
village,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-minus-low differential,-0.02969987780166289,0.07095080668816532,0.6755098276274273,420,146,0.13488740745311364,ok
village,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-instability total,0.04351009288686898,0.11073559462011905,0.6943794827763667,420,146,0.13488740745311364,ok
village,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-minus-low differential,0.05075201320772807,0.04953838012685123,0.3055997162384497,368,130,0.13488740745311364,ok
village,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-instability total,0.032753941111203624,0.03154212708100856,0.2990750712067034,368,130,0.13488740745311364,ok
village,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-minus-low differential,0.07850427686487489,0.04793635099374001,0.10148901531841194,350,125,0.13488740745311364,ok
village,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-instability total,0.10013058291809993,0.10130037916362737,0.3229312320939649,350,125,0.13488740745311364,ok
village,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-minus-low differential,-0.1456902162735298,0.17981308582066252,0.417807168281947,432,149,0.18400485665582364,ok
village,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-instability total,-0.19240989402446607,0.17055829665748942,0.25927006470916514,432,149,0.18400485665582364,ok
village,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-minus-low differential,-0.07989546680911153,0.09267780764065324,0.3886447882583093,420,146,0.18400485665582364,ok
village,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-instability total,-0.06935466062145981,0.15480007389720304,0.6541334874007868,420,146,0.18400485665582364,ok
village,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-minus-low differential,0.11409625075730676,0.08911874207574563,0.20044941028206997,368,130,0.18400485665582364,ok
village,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-instability total,0.0702146880222707,0.06602741761803642,0.287592820419575,368,130,0.18400485665582364,ok
village,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-minus-low differential,0.13518440959864206,0.08761540571945461,0.12284783947810814,350,125,0.18400485665582364,ok
village,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-instability total,0.11392222958802835,0.16377668163178427,0.4866825414457545,350,125,0.18400485665582364,ok
village,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,none,high-minus-low differential,0.051009418975616755,0.0715732992009209,0.4760389516567832,432,149,0.11067863981289974,ok
village,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,none,high-instability total,0.0791588196950493,0.06646865692921407,0.233685188437462,432,149,0.11067863981289974,ok
village,mech,provyear,aggregate-reallocation,expand_state,Share expand state,none,high-minus-low differential,0.0038943014418399043,0.07890496917589244,0.9606369276564484,420,146,0.11067863981289974,ok
village,mech,provyear,aggregate-reallocation,expand_state,Share expand state,none,high-instability total,-0.04199448332117825,0.11844276292926742,0.7229229332053556,420,146,0.11067863981289974,ok
