level,sample_scope,fe,family,outcome,label,controls,term,b,se,p,N,clusters,mean_y,status
county,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,none,low-instability DID,0.026511295009122898,0.0274866558527058,0.3347877345216953,432,149,0.125565958186383,ok
county,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,none,high-minus-low differential,0.053363146977883434,0.07758056107321634,0.4915524572019091,432,149,0.125565958186383,ok
county,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,none,high-instability total,0.07987444198700633,0.07254610358313,0.2708895664115182,432,149,0.125565958186383,ok
county,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,none,low-instability DID,-0.04235132025340009,0.0898576611315559,0.6374153549849029,420,146,0.125565958186383,ok
county,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,none,high-minus-low differential,-0.005744522972148814,0.08756940620056829,0.9476965625495075,420,146,0.125565958186383,ok
county,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,none,high-instability total,-0.048095843225548905,0.12463233368786215,0.6995693896582376,420,146,0.125565958186383,ok
county,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,low-instability DID,0.03110799485471899,0.036862687948729676,0.39873176934335386,368,130,0.125565958186383,ok
county,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-minus-low differential,0.07616443581554361,0.13496463966170555,0.572530371303946,368,130,0.125565958186383,ok
county,mech,stackyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-instability total,0.1072724306702626,0.1296337358926272,0.4079514747037768,368,130,0.125565958186383,ok
county,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,low-instability DID,-0.03525576225943938,0.10337101180269657,0.7330580855986722,350,125,0.125565958186383,ok
county,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-minus-low differential,0.024000300938246694,0.11335040263682769,0.8323134132564595,350,125,0.125565958186383,ok
county,mech,provyear,aggregate-reallocation,any_rentin,Share renting in,baseline_bundle,high-instability total,-0.011255461321192688,0.1517963565136731,0.9408922807407454,350,125,0.125565958186383,ok
county,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,low-instability DID,0.0489400793985829,0.053535094329986196,0.3606284847958471,432,149,0.289756315459916,ok
county,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-minus-low differential,0.22085782043583074,0.23925682678652577,0.3559554352029696,432,149,0.289756315459916,ok
county,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-instability total,0.26979789983441366,0.23402886333306455,0.24897594883498586,432,149,0.289756315459916,ok
county,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,low-instability DID,-0.04586033715295905,0.1590593953909363,0.7731002001763554,420,146,0.289756315459916,ok
county,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-minus-low differential,0.0865197123258683,0.23150889013514933,0.7086119693086612,420,146,0.289756315459916,ok
county,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,none,high-instability total,0.040659375172909254,0.27410543594860554,0.8820785522675675,420,146,0.289756315459916,ok
county,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,low-instability DID,0.03723622757747391,0.06889515049426559,0.5888682853179861,368,130,0.289756315459916,ok
county,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-minus-low differential,0.3992534168825667,0.46367736407868704,0.3892057277316977,368,130,0.289756315459916,ok
county,mech,stackyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-instability total,0.4364896444600406,0.4578638398101427,0.34042919049637244,368,130,0.289756315459916,ok
county,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,low-instability DID,-0.016339505684942923,0.1718632962686416,0.9242570909606284,350,125,0.289756315459916,ok
county,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-minus-low differential,0.3102045690074088,0.3357054538493974,0.35546657360331313,350,125,0.289756315459916,ok
county,mech,provyear,aggregate-reallocation,asinh_rentin,Mean asinh rented-in area,baseline_bundle,high-instability total,0.29386506332246587,0.3743300803797699,0.4324285862440317,350,125,0.289756315459916,ok
county,mech,stackyear,aggregate-reallocation,rentin_mu,Mean rented-in area,none,low-instability DID,-0.009946745801812304,0.3023710323629941,0.9737576589029109,432,149,1.6180180086990357,ok
county,mech,stackyear,aggregate-reallocation,rentin_mu,Mean rented-in area,none,high-minus-low differential,8.51467617613627,7.647155013814962,0.2655179377353353,432,149,1.6180180086990357,ok
county,mech,stackyear,aggregate-reallocation,rentin_mu,Mean rented-in area,none,high-instability total,8.504729430334457,7.663631927502982,0.26710598878670255,432,149,1.6180180086990357,ok
county,mech,provyear,aggregate-reallocation,rentin_mu,Mean rented-in area,none,low-instability DID,-0.00521490122796156,0.36252261998074886,0.9885227970631422,420,146,1.6180180086990357,ok
county,mech,provyear,aggregate-reallocation,rentin_mu,Mean rented-in area,none,high-minus-low differential,8.189773850260806,5.6067226034095246,0.14409611712336157,420,146,1.6180180086990357,ok
county,mech,provyear,aggregate-reallocation,rentin_mu,Mean rented-in area,none,high-instability total,8.184558949032844,5.575789205040494,0.14213830831185667,420,146,1.6180180086990357,ok
county,mech,stackyear,aggregate-reallocation,rentin_mu,Mean rented-in area,baseline_bundle,low-instability DID,-0.24858740760729303,0.39833294279260173,0.5325819973208917,368,130,1.6180180086990357,ok
county,mech,stackyear,aggregate-reallocation,rentin_mu,Mean rented-in area,baseline_bundle,high-minus-low differential,13.881008879205272,9.877924673053242,0.1599452886295516,368,130,1.6180180086990357,ok
county,mech,stackyear,aggregate-reallocation,rentin_mu,Mean rented-in area,baseline_bundle,high-instability total,13.63242147159798,9.854534188524969,0.1665528590169958,368,130,1.6180180086990357,ok
county,mech,provyear,aggregate-reallocation,rentin_mu,Mean rented-in area,baseline_bundle,low-instability DID,-0.2665809723093249,0.45505206260935793,0.5579929774232243,350,125,1.6180180086990357,ok
county,mech,provyear,aggregate-reallocation,rentin_mu,Mean rented-in area,baseline_bundle,high-minus-low differential,12.71328165616721,6.647181607584565,0.055801551855770175,350,125,1.6180180086990357,ok
county,mech,provyear,aggregate-reallocation,rentin_mu,Mean rented-in area,baseline_bundle,high-instability total,12.446700683857884,6.547727186444859,0.05731258963279511,350,125,1.6180180086990357,ok
county,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,low-instability DID,-0.02794696411841486,0.03216002529691748,0.38484879521204285,432,149,0.13488740745311362,ok
county,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-minus-low differential,-0.07654801158509254,0.12628800925610104,0.5444228551041304,432,149,0.13488740745311362,ok
county,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-instability total,-0.10449497570350741,0.12173852873818283,0.3906960104618039,432,149,0.13488740745311362,ok
county,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,low-instability DID,0.07320997068853191,0.09308896425332555,0.4316029271235402,420,146,0.13488740745311362,ok
county,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-minus-low differential,-0.029699877801662992,0.07095080668816552,0.6755098276274272,420,146,0.13488740745311362,ok
county,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,none,high-instability total,0.04351009288686892,0.11073559462011916,0.6943794827763675,420,146,0.13488740745311362,ok
county,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,low-instability DID,-0.01799807209652426,0.036832641958889425,0.6250933220772534,368,130,0.13488740745311362,ok
county,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-minus-low differential,0.050752013207728125,0.049538380126851134,0.3055997162384483,368,130,0.13488740745311362,ok
county,mech,stackyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-instability total,0.03275394111120386,0.03154212708100853,0.2990750712066993,368,130,0.13488740745311362,ok
county,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,low-instability DID,0.021626306053225033,0.08977740261152635,0.8096418617029746,350,125,0.13488740745311362,ok
county,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-minus-low differential,0.07850427686487484,0.04793635099373996,0.10148901531841172,350,125,0.13488740745311362,ok
county,mech,provyear,aggregate-reallocation,any_abandon,Share abandoning/idling,baseline_bundle,high-instability total,0.10013058291809987,0.10130037916362733,0.322931232093965,350,125,0.13488740745311362,ok
county,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,low-instability DID,-0.04671967775093623,0.05532249173361575,0.39839174462133053,432,149,0.18400485665582364,ok
county,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-minus-low differential,-0.14569021627352988,0.17981308582066266,0.417807168281947,432,149,0.18400485665582364,ok
county,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-instability total,-0.19240989402446612,0.17055829665748953,0.25927006470916514,432,149,0.18400485665582364,ok
county,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,low-instability DID,0.010540806187651642,0.13233173438787382,0.9365121199669915,420,146,0.18400485665582364,ok
county,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-minus-low differential,-0.07989546680911169,0.09267780764065349,0.3886447882583094,420,146,0.18400485665582364,ok
county,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,none,high-instability total,-0.06935466062146005,0.15480007389720318,0.654133487400786,420,146,0.18400485665582364,ok
county,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,low-instability DID,-0.04388156273503577,0.05878496381767366,0.455379943899342,368,130,0.18400485665582364,ok
county,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-minus-low differential,0.11409625075730681,0.08911874207574559,0.20044941028206953,368,130,0.18400485665582364,ok
county,mech,stackyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-instability total,0.07021468802227104,0.06602741761803646,0.2875928204195729,368,130,0.18400485665582364,ok
county,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,low-instability DID,-0.02126218001061385,0.13475639846876306,0.8746283142094728,350,125,0.18400485665582364,ok
county,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-minus-low differential,0.13518440959864203,0.08761540571945448,0.1228478394781076,350,125,0.18400485665582364,ok
county,mech,provyear,aggregate-reallocation,asinh_abandon,Mean asinh abandoned area,baseline_bundle,high-instability total,0.11392222958802818,0.16377668163178416,0.48668254144575496,350,125,0.18400485665582364,ok
county,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,none,low-instability DID,0.028149400719432612,0.026527648753093665,0.28862882518884214,432,149,0.11067863981289972,ok
county,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,none,high-minus-low differential,0.05100941897561632,0.07157329920092101,0.47603895165678767,432,149,0.11067863981289972,ok
county,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,none,high-instability total,0.07915881969504893,0.06646865692921414,0.23368518843746477,432,149,0.11067863981289972,ok
county,mech,provyear,aggregate-reallocation,expand_state,Share expand state,none,low-instability DID,-0.04588878476301815,0.08880403009886473,0.605336173514633,420,146,0.11067863981289972,ok
county,mech,provyear,aggregate-reallocation,expand_state,Share expand state,none,high-minus-low differential,0.0038943014418398834,0.07890496917589268,0.9606369276564486,420,146,0.11067863981289972,ok
county,mech,provyear,aggregate-reallocation,expand_state,Share expand state,none,high-instability total,-0.041994483321178264,0.11844276292926759,0.7229229332053558,420,146,0.11067863981289972,ok
county,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,baseline_bundle,low-instability DID,0.030770106035539903,0.03567814767314598,0.3884478366866455,368,130,0.11067863981289972,ok
county,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,baseline_bundle,high-minus-low differential,0.09676229484470275,0.12576701297817258,0.44166931328909587,368,130,0.11067863981289972,ok
county,mech,stackyear,aggregate-reallocation,expand_state,Share expand state,baseline_bundle,high-instability total,0.12753240088024265,0.12037395955097475,0.2893865337794942,368,130,0.11067863981289972,ok
county,mech,provyear,aggregate-reallocation,expand_state,Share expand state,baseline_bundle,low-instability DID,-0.04535605186319713,0.09852274340138471,0.6452569543217512,350,125,0.11067863981289972,ok
county,mech,provyear,aggregate-reallocation,expand_state,Share expand state,baseline_bundle,high-minus-low differential,0.04988190646271523,0.10279463466493773,0.6274934295517838,350,125,0.11067863981289972,ok
county,mech,provyear,aggregate-reallocation,expand_state,Share expand state,baseline_bundle,high-instability total,0.004525854599518098,0.1406222495594728,0.9743249294120394,350,125,0.11067863981289972,ok
county,mech,stackyear,aggregate-reallocation,idle_state,Share idle state,none,low-instability DID,-0.023287606498336486,0.03139760585918944,0.45826907672589556,432,149,0.12039544154349777,ok
