level,sample_scope,fe,family,outcome,label,controls,term,b,se,p,N,clusters,mean_y,status
household,mech,stackyear,land-reallocation,any_rentin,Any rented-in land,none,high-minus-low differential,0.21472106643970937,0.0638958374425816,0.0007780547715075664,3190,140,0.1425059187761792,ok
household,mech,stackyear,land-reallocation,any_rentin,Any rented-in land,none,high-instability total,0.16893385410865921,0.03894260712573625,1.4377130976021774e-05,3190,140,0.1425059187761792,ok
household,mech,provyear,land-reallocation,any_rentin,Any rented-in land,none,high-minus-low differential,0.12522097606236973,0.050044174867132814,0.01234211017324251,3184,139,0.1425059187761792,ok
household,mech,provyear,land-reallocation,any_rentin,Any rented-in land,none,high-instability total,-0.031001429363489957,0.1195553353472221,0.7953990627629002,3184,139,0.1425059187761792,ok
household,mech,stackyear,land-reallocation,any_rentin,Any rented-in land,farm_income,high-minus-low differential,0.1713571876522332,0.06721081713957766,0.010786273885214429,2778,132,0.1425059187761792,ok
household,mech,stackyear,land-reallocation,any_rentin,Any rented-in land,farm_income,high-instability total,0.11588897546295768,0.03722746556060573,0.0018519812183765787,2778,132,0.1425059187761792,ok
household,mech,provyear,land-reallocation,any_rentin,Any rented-in land,farm_income,high-minus-low differential,0.11752845247599517,0.060891690648610414,0.05359159957932226,2772,130,0.1425059187761792,ok
household,mech,provyear,land-reallocation,any_rentin,Any rented-in land,farm_income,high-instability total,-0.03502884280900559,0.12351483213798993,0.7767167111486991,2772,130,0.1425059187761792,ok
household,mech,stackyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-minus-low differential,0.16144796077416643,0.07056992052110651,0.022150742322315384,2540,131,0.1425059187761792,ok
household,mech,stackyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-instability total,0.1048564854796101,0.03618355901937604,0.003756653913398881,2540,131,0.1425059187761792,ok
household,mech,provyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-minus-low differential,0.10788312833093038,0.06456608832649981,0.09474249831756232,2532,128,0.1425059187761792,ok
household,mech,provyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-instability total,-0.055303032805713956,0.1292204923497878,0.6686699269369459,2532,128,0.1425059187761792,ok
household,mech,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,none,high-minus-low differential,0.45849057285170647,0.16242679580967587,0.004761337745067171,3184,140,0.32675755341373264,ok
household,mech,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,none,high-instability total,0.3625515235059607,0.13623070535346718,0.007783830059971661,3184,140,0.32675755341373264,ok
household,mech,provyear,land-reallocation,asinh_rentin,asinh rented-in area,none,high-minus-low differential,0.2734078748934591,0.11955404987799792,0.02220179822870888,3178,139,0.32675755341373264,ok
household,mech,provyear,land-reallocation,asinh_rentin,asinh rented-in area,none,high-instability total,0.10479977838194171,0.2454298277007666,0.6693756419475002,3178,139,0.32675755341373264,ok
household,mech,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,farm_income,high-minus-low differential,0.34587618198746056,0.13456537652968364,0.010160438744659436,2772,132,0.32675755341373264,ok
household,mech,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,farm_income,high-instability total,0.22426038595164471,0.08908957003913351,0.011827613244070676,2772,132,0.32675755341373264,ok
household,mech,provyear,land-reallocation,asinh_rentin,asinh rented-in area,farm_income,high-minus-low differential,0.23581902796749232,0.1242192058309396,0.05764204519535592,2766,130,0.32675755341373264,ok
