level,sample_scope,fe,family,outcome,label,controls,term,b,se,p,N,clusters,mean_y,status
household,adjacent,stackyear,land-reallocation,any_rentin,Any rented-in land,none,high-minus-low differential,0.18625300277741397,0.06147246199569489,0.0024466647637467346,2992,135,0.1260217152616811,ok
household,adjacent,stackyear,land-reallocation,any_rentin,Any rented-in land,none,high-instability total,0.13097134821232537,0.033572884669341614,9.575460459215236e-05,2992,135,0.1260217152616811,ok
household,adjacent,stackyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-minus-low differential,0.16144796077416546,0.07057102829933114,0.022152834839787115,2520,131,0.1260217152616811,ok
household,adjacent,stackyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-instability total,0.10485648547960927,0.03618412701429387,0.00375719880415726,2520,131,0.1260217152616811,ok
household,adjacent,provyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-minus-low differential,0.10788312833093029,0.06456710831427125,0.09474771304219694,2512,128,0.1260217152616811,ok
household,adjacent,provyear,land-reallocation,any_rentin,Any rented-in land,baseline_bundle,high-instability total,-0.055303032805714566,0.12922253372157394,0.6686748492474239,2512,128,0.1260217152616811,ok
household,adjacent,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,none,high-minus-low differential,0.3783330447773965,0.13725411945030377,0.0058433942089695205,2986,135,0.26419062794158865,ok
household,adjacent,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,none,high-instability total,0.26556398138758364,0.1014110941816431,0.00882687251224967,2986,135,0.26419062794158865,ok
household,adjacent,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,baseline_bundle,high-minus-low differential,0.3448126876901082,0.14681193091845385,0.018840627504428886,2514,131,0.26419062794158865,ok
household,adjacent,stackyear,land-reallocation,asinh_rentin,asinh rented-in area,baseline_bundle,high-instability total,0.22105502663948393,0.09632966472954009,0.021745950488654835,2514,131,0.26419062794158865,ok
household,adjacent,provyear,land-reallocation,asinh_rentin,asinh rented-in area,baseline_bundle,high-minus-low differential,0.23418469579980178,0.13218642251263518,0.0764569211479015,2506,128,0.26419062794158865,ok
household,adjacent,provyear,land-reallocation,asinh_rentin,asinh rented-in area,baseline_bundle,high-instability total,0.054184494482263146,0.2654264167877697,0.838243079016444,2506,128,0.26419062794158865,ok
household,adjacent,stackyear,farm-operation,rb_farm_any,Any own-farm production,none,high-minus-low differential,-0.15149036892734516,0.13541859175524024,0.2632757391235051,3132,137,0.7550898203592814,ok
household,adjacent,stackyear,farm-operation,rb_farm_any,Any own-farm production,none,high-instability total,-0.2105566081143233,0.12956548442070312,0.10414168143723102,3132,137,0.7550898203592814,ok
household,adjacent,stackyear,farm-operation,rb_farm_any,Any own-farm production,baseline_bundle,high-minus-low differential,-0.17794561605528375,0.13185317729873727,0.1771526781238948,2636,132,0.7550898203592814,ok
household,adjacent,stackyear,farm-operation,rb_farm_any,Any own-farm production,baseline_bundle,high-instability total,-0.22237376075613363,0.12419482257305119,0.07336977686053008,2636,132,0.7550898203592814,ok
household,adjacent,provyear,farm-operation,rb_farm_any,Any own-farm production,baseline_bundle,high-minus-low differential,-0.30235413227499264,0.1370985882236506,0.027427620416512477,2630,130,0.7550898203592814,ok
household,adjacent,provyear,farm-operation,rb_farm_any,Any own-farm production,baseline_bundle,high-instability total,-0.38147697277968345,0.18167209227104303,0.035745511381325853,2630,130,0.7550898203592814,ok
household,adjacent,stackyear,farm-operation,asinh_rb_farm_cost_w99,asinh farm cost,none,high-minus-low differential,-0.6844696879052978,0.3750461164115018,0.06799679438183746,2076,123,8.054264442624712,ok
household,adjacent,stackyear,farm-operation,asinh_rb_farm_cost_w99,asinh farm cost,none,high-instability total,-0.7199093241997117,0.3083672080907591,0.01956513368168384,2076,123,8.054264442624712,ok
household,adjacent,stackyear,farm-operation,asinh_rb_farm_cost_w99,asinh farm cost,baseline_bundle,high-minus-low differential,-0.4325140907533498,0.3571648371964276,0.2259088471935624,1798,117,8.054264442624712,ok
household,adjacent,stackyear,farm-operation,asinh_rb_farm_cost_w99,asinh farm cost,baseline_bundle,high-instability total,-0.42221245295889825,0.3057267196355639,0.16727508555641413,1798,117,8.054264442624712,ok
household,adjacent,provyear,farm-operation,asinh_rb_farm_cost_w99,asinh farm cost,baseline_bundle,high-minus-low differential,-0.49455405918656886,0.42439617724264816,0.2438926270707018,1786,115,8.054264442624712,ok
