source,variable,nonmissing,positive,mean,status
panel,rentout_mu,0,0,,ok
panel,any_rentout,0,0,,ok
panel,asinh_rentout,0,0,,ok
panel,rentin_mu,8285,1151,1.8465660832830415,ok
panel,any_rentin,8306,1172,0.141102817240549,ok
panel,asinh_rentin,8285,1151,0.321908500856998,ok
panel,abandon_mu,8295,1026,0.4646172393007836,ok
panel,any_abandon,8335,1066,0.12789442111577684,ok
panel,asinh_abandon,8295,1026,0.18065430304976338,ok
stack,rentout_mu,0,0,,ok
stack,any_rentout,0,0,,ok
stack,asinh_rentout,0,0,,ok
stack,rentin_mu,10957,1540,1.7813133156886007,ok
stack,any_rentin,10982,1565,0.1425059187761792,ok
stack,asinh_rentin,10957,1540,0.32675755341373264,ok
stack,abandon_mu,10973,1398,0.4324004374373462,ok
stack,any_abandon,11021,1446,0.13120406496688142,ok
stack,asinh_abandon,10973,1398,0.1809587646347821,ok
