scope,anchor,design,a3_group,orientation,outcome,outcome_label,family,fe,term,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,any_rentin,Any rented-in land,rent-in,stackyear,bottom group DID,-0.20597267124477986,0.11398321552672316,0.07075543881546151,1174,82,0.13736263736263737,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,any_rentin,Any rented-in land,rent-in,stackyear,top farmdep-minus-bottom differential,0.20372599904055214,0.11334354706182856,0.07226891106172077,1174,82,0.13736263736263737,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,any_rentin,Any rented-in land,rent-in,stackyear,top farmdep group DID,-0.002246672204227723,0.06776405853730669,0.9735515145751019,1174,82,0.13736263736263737,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,any_rentin,Any rented-in land,rent-in,provyear,bottom group DID,-0.30982548805849097,0.09371365064312909,0.0009460868594982383,1166,80,0.13736263736263737,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,any_rentin,Any rented-in land,rent-in,provyear,top farmdep-minus-bottom differential,0.07782700062652312,0.12874750560852952,0.5455157425087392,1166,80,0.13736263736263737,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,any_rentin,Any rented-in land,rent-in,provyear,top farmdep group DID,-0.23199848743196785,0.16341131337627274,0.15568889663079236,1166,80,0.13736263736263737,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,stackyear,bottom group DID,-0.41237585552478356,0.20040650755674463,0.03961923518374209,1174,82,0.2864212808148113,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,stackyear,top farmdep-minus-bottom differential,0.34280390936251054,0.20736035245206466,0.09829431223032502,1174,82,0.2864212808148113,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,stackyear,top farmdep group DID,-0.06957194616227302,0.12403701307739344,0.5748679881128878,1174,82,0.2864212808148113,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,provyear,bottom group DID,-0.4737115782423148,0.1539626515423046,0.0020923886467946913,1166,80,0.2864212808148113,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,provyear,top farmdep-minus-bottom differential,0.12521276855431718,0.2643370147435726,0.6357237697393436,1166,80,0.2864212808148113,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,asinh_rentin,asinh rented-in area,rent-in,provyear,top farmdep group DID,-0.3484988096879976,0.33280742308924927,0.2950310715144,1166,80,0.2864212808148113,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,bottom group DID,-0.21073070307529812,0.11374594489240412,0.06393345096201014,1174,82,0.11944027986006997,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,top farmdep-minus-bottom differential,0.20103760900319048,0.11299137874720061,0.07520212249024767,1174,82,0.11944027986006997,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,top farmdep group DID,-0.009693094072107639,0.06741775673070034,0.8856769020970896,1174,82,0.11944027986006997,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,bottom group DID,-0.3180363329375302,0.08681432374388146,0.0002488811309294639,1166,80,0.11944027986006997,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,top farmdep-minus-bottom differential,0.08048369409019433,0.12765639544870003,0.528386271919081,1166,80,0.11944027986006997,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,top farmdep group DID,-0.23755263884733585,0.15797640936325857,0.13265290244688263,1166,80,0.11944027986006997,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,bottom group DID,0.10914883953136602,0.1449998037589602,0.451599174381045,1232,83,0.5165530671859786,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,top farmdep-minus-bottom differential,-0.32348851197298945,0.16345633280233415,0.04781020040830898,1232,83,0.5165530671859786,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,top farmdep group DID,-0.21433967244162344,0.07748649858875754,0.005672155189077835,1232,83,0.5165530671859786,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,bottom group DID,0.210954986440743,0.09193612168361381,0.02175708052195353,1228,82,0.5165530671859786,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,top farmdep-minus-bottom differential,0.12677749221114484,0.1714245106007803,0.4595713360442032,1228,82,0.5165530671859786,ok
adjacent,completed_t,low insecurity: top-vs-bottom farmdep,low insecurity,farmdep,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,top farmdep group DID,0.3377324786518878,0.1485452322566995,0.022990031834059923,1228,82,0.5165530671859786,ok
