scope,anchor,design,group,outcome,outcome_label,family,fe,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,any_rentin,Any rented-in land,rent-in,stackyear,-0.20872916596233845,0.10600107620289463,0.0489389587528396,458.0,55.0,0.09718969555035128,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,any_rentin,Any rented-in land,rent-in,provyear,-0.2878965113878758,0.08815574971361723,0.0010916640304014277,442.0,51.0,0.09718969555035128,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.41755639404801126,0.18899159922594877,0.027147436028461282,458.0,55.0,0.15182770667417234,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,asinh_rentin,asinh rented-in area,rent-in,provyear,-0.42052781839880116,0.14782243317078117,0.004443689987101298,442.0,51.0,0.15182770667417234,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,-0.21248182832414916,0.10864562436693673,0.050496620101260666,458.0,55.0,0.07728337236533958,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.2878965113878758,0.08815574971361723,0.0010916640304014277,442.0,51.0,0.07728337236533958,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,0.1074940868915723,0.14632205214249622,0.46255854347268877,476.0,57.0,0.9170506912442397,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,0.2979426133626918,0.1126449204082627,0.00816977778998624,462.0,54.0,0.9170506912442397,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,0.021847379559317877,0.06411503219891965,0.7332896531150258,476.0,57.0,0.24193548387096775,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,0.0986031789719948,0.05790977484861584,0.08862356098095356,462.0,54.0,0.24193548387096775,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,0.003972412860475361,0.05859015869396102,0.9459448423914192,458.0,55.0,0.2259953161592506,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,0.09860317897199479,0.05954509027479471,0.09773369057818015,442.0,51.0,0.2259953161592506,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,rb_farm_any,Any own-farm production,farm-exit,stackyear,-0.13585431953975635,0.09913196715014164,0.17054988722036357,470.0,56.0,0.608092485549133,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.047753388839193604,0.13474176473567973,0.7230340882908421,458.0,54.0,0.608092485549133,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-2.646040777010688,0.8357666231463652,0.0015454847450991809,470.0,57.0,2.323736482796218,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep bottom,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-1.941681752247022,0.7476412237721939,0.009402087191673257,456.0,54.0,2.323736482796218,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,any_rentin,Any rented-in land,rent-in,stackyear,-0.0075720339545943035,0.06818894577200914,0.9115807500803155,716.0,64.0,0.1672473867595819,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,any_rentin,Any rented-in land,rent-in,provyear,-0.49999999999999956,0.044554948576145205,3.176438966186652e-29,704.0,62.0,0.1672473867595819,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,asinh_rentin,asinh rented-in area,rent-in,stackyear,-0.07958039693932614,0.12563924251237035,0.526469863048022,716.0,64.0,0.38654576889504266,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,asinh_rentin,asinh rented-in area,rent-in,provyear,-1.0185841811337868,0.15634468956962003,7.269421594483576e-11,704.0,62.0,0.38654576889504266,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,rentin_and_farm_any,Rent-in and own-farm production,rent-in,stackyear,-0.013076149864279078,0.06791370636634687,0.8473187214023163,716.0,64.0,0.15082824760244115,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,rentin_and_farm_any,Rent-in and own-farm production,rent-in,provyear,-0.49999999999999956,0.044554948576145205,3.176438966186652e-29,704.0,62.0,0.15082824760244115,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,stackyear,-0.21803447089173458,0.07879304648340786,0.005654368318196796,756.0,65.0,0.22344013490725126,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,provyear,-0.11976047904191614,0.07962482042209679,0.1325660101271076,748.0,64.0,0.22344013490725126,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,stackyear,-0.055205522104719976,0.04320761482545304,0.20136214284015908,756.0,65.0,0.04131534569983136,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,provyear,-0.02395209580838322,0.0428524565898614,0.5762003802594251,748.0,64.0,0.04131534569983136,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,stackyear,-0.010986091369209689,0.027344702129926787,0.6878584060394819,716.0,64.0,0.033101045296167246,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,provyear,-0.031249999999999983,0.0560060865324092,0.5768614085037889,704.0,62.0,0.033101045296167246,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,rb_farm_any,Any own-farm production,farm-exit,stackyear,0.009229670531553422,0.05319703957210765,0.8622586618251749,756.0,65.0,0.8827004219409282,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,rb_farm_any,Any own-farm production,farm-exit,provyear,-0.02395209580838324,0.07684743606067293,0.7552808910895246,748.0,64.0,0.8827004219409282,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,stackyear,-0.9380554789789295,0.8087503307172164,0.24609658645267718,740.0,65.0,9.173516416861268,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,low insecurity + farmdep top,asinh_rb_inc_farm_w99,asinh farm income,farm-exit,provyear,-4.889160304294073,1.5470657326568342,0.0015761779337448163,732.0,64.0,9.173516416861268,ok
adjacent,completed_t,simple DID within joint A3 x baseline-orientation group,high insecurity + farmdep bottom,any_rentin,Any rented-in land,rent-in,stackyear,0.02857142857142861,0.10663319005880066,0.7887445532899603,340.0,33.0,0.08156028368794327,ok
