scope,anchor,outcome,outcome_label,family,modifier,modifier_label,modifier_type,paper_role,subset,fe,controls,term,b,se,p,N,clusters,mean_y,status
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,DID at mean modifier,-0.03668756445923601,0.04936888057288724,0.4574021415327636,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,heterogeneity slope,0.0502376596874757,0.034082603811917626,0.1404823679665466,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,DID at +1 SD,0.01355009522823969,0.057346525014317126,0.813211910440449,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,DID at -1 SD,-0.08692522414671171,0.06252356813252576,0.1644440733165181,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,farm_income_only,DID at mean modifier,-0.036041131592462784,0.0504204927718711,0.4747257301177119,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,farm_income_only,heterogeneity slope,0.049574363740740444,0.03437064429812419,0.1492047695254065,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,farm_income_only,DID at +1 SD,0.01353323214827766,0.05735519464307903,0.8134677623085602,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,farm_income_only,DID at -1 SD,-0.08561549533320323,0.06447880433993393,0.18424142503724317,2740,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,other_baseline,DID at mean modifier,-0.04464445174361401,0.05088067230006812,0.3802507399422581,2560,135,0.1260217152616811,ok
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,other_baseline,heterogeneity slope,0.054753271854809056,0.03592058896938664,0.12743713704765558,2560,135,0.1260217152616811,ok
