panel,family,n_tests_directional,share_expected_direction,share_p10_expected,share_p05_expected,median_p_expected_direction
primary_all,rent-in,336,0.7470238095238095,0.20833333333333334,0.0744047619047619,0.20166793686626117
primary_all,nonfarm,288,0.3645833333333333,0.013888888888888888,0.0,0.6988931103766386
primary_all,farm-exit,126,0.7142857142857143,0.07936507936507936,0.023809523809523808,0.4408589047100215
primary_none_stackyear,rent-in,56,0.9285714285714286,0.32142857142857145,0.08928571428571429,0.2586720305346969
primary_none_stackyear,nonfarm,48,0.4166666666666667,0.041666666666666664,0.0,0.5200628505361029
primary_none_stackyear,farm-exit,21,0.7619047619047619,0.14285714285714285,0.047619047619047616,0.36676370123039803
all_robust_specs,rent-in,496,0.7681451612903226,0.24193548387096775,0.10887096774193548,0.195765122857519
all_robust_specs,nonfarm,408,0.39705882352941174,0.024509803921568627,0.004901960784313725,0.6396041271630255
all_robust_specs,farm-exit,126,0.7142857142857143,0.07936507936507936,0.023809523809523808,0.4408589047100215
split_effects_all_groups,rent-in,246,,0.3983739837398374,0.34146341463414637,0.21910787356694333
split_effects_all_groups,nonfarm,246,,0.23577235772357724,0.14634146341463414,0.341552652727352
split_effects_all_groups,farm-exit,164,,0.4024390243902439,0.3780487804878049,0.1606619761808432
