spec,instrument_base,instrument_label,outcome,outcome_label,balance_controls,b,se,p,N,counties,status
official_x_geo_area_rugged,iv_official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,any_rentin,Any rent-in (2014),province_fe,-0.027343349907417557,0.02244812265301904,0.22461878518397183,2329,203,ok
official_x_geo_area_rugged,iv_official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,asinh_rentin,asinh rented-in area (2014),province_fe,-0.030797474934964247,0.04127119402433494,0.45640084407863507,2329,203,ok
official_x_geo_area_rugged,iv_official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,a3_tenure_insec_z,Baseline insecurity index,province_fe,-0.1553675668154345,0.1569067308353421,0.32327147035429976,2362,202,ok
official_x_geo_area_rugged,iv_official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,ib_nonfarm_curr_n,Current nonfarm workers,province_fe,-0.0013315048727106952,0.07294568315289447,0.9854543900322108,2446,207,ok
official_x_geo_area_rugged,iv_official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,land_total_mu,Household land base,province_fe,0.68189084382219,0.5223118361137612,0.19318476751741095,2267,205,ok
official_x_geo_area_rugged,iv_official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,asinh_rb_inc_farm,asinh farm income (2014),province_fe,-0.012976294880622713,0.3720672720772235,0.9722122245458406,2408,207,ok
official_x_survey_net_distance,iv_official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,any_rentin,Any rent-in (2014),province_fe,-0.027354996297304496,0.021217212401199965,0.19877399855468247,2329,203,ok
official_x_survey_net_distance,iv_official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,asinh_rentin,asinh rented-in area (2014),province_fe,-0.046556462836407506,0.04094035897902103,0.25681114503441727,2329,203,ok
official_x_survey_net_distance,iv_official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,a3_tenure_insec_z,Baseline insecurity index,province_fe,-0.08865367379823634,0.18181981085101073,0.626371076560433,2362,202,ok
official_x_survey_net_distance,iv_official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,ib_nonfarm_curr_n,Current nonfarm workers,province_fe,0.07269870397549522,0.07023434898784053,0.30184156601492157,2446,207,ok
official_x_survey_net_distance,iv_official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,land_total_mu,Household land base,province_fe,0.29698900925190386,0.6442725778645924,0.6453126633114382,2267,205,ok
official_x_survey_net_distance,iv_official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,asinh_rb_inc_farm,asinh farm income (2014),province_fe,-0.4589559547627163,0.34409467070663924,0.18373984531230667,2408,207,ok
official_x_survey_cost,iv_official_x_survey_cost,Official schedule x raw survey-cost index,any_rentin,Any rent-in (2014),province_fe,-0.023825669580302078,0.0232946517306914,0.3076277737566284,2329,203,ok
official_x_survey_cost,iv_official_x_survey_cost,Official schedule x raw survey-cost index,asinh_rentin,asinh rented-in area (2014),province_fe,-0.010985186856983926,0.04242660003071987,0.7959589566171715,2329,203,ok
official_x_survey_cost,iv_official_x_survey_cost,Official schedule x raw survey-cost index,a3_tenure_insec_z,Baseline insecurity index,province_fe,-0.20944424844939874,0.13932443659627447,0.1343352709745601,2362,202,ok
official_x_survey_cost,iv_official_x_survey_cost,Official schedule x raw survey-cost index,ib_nonfarm_curr_n,Current nonfarm workers,province_fe,-0.07740471968366187,0.08109638136937428,0.34096037654604733,2446,207,ok
official_x_survey_cost,iv_official_x_survey_cost,Official schedule x raw survey-cost index,land_total_mu,Household land base,province_fe,1.0028652083205918,0.62359255824875,0.10933661996123344,2267,205,ok
official_x_survey_cost,iv_official_x_survey_cost,Official schedule x raw survey-cost index,asinh_rb_inc_farm,asinh farm income (2014),province_fe,0.4456876035721554,0.4361426042622569,0.30803386695737284,2408,207,ok
