anchor,spec,instrument,controls,any_b,any_se,any_p,any_first_stage_F,any_N,any_counties,area_b,area_se,area_p,area_first_stage_F,area_N,area_counties,balance_min_p
completed_t,official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,baseline_bundle,0.2490725957915212,0.1375640677109253,0.0702038115443099,11.402207518366874,2532,128,0.4704396952820344,0.2234360677837136,0.0352497320043023,11.403101746603978,2526,128,0.1931847675174109
high_sat80_t,official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,baseline_bundle,0.2490725957915212,0.1375640677109253,0.0702038115443099,11.402207518366874,2532,128,0.4704396952820344,0.2234360677837136,0.0352497320043023,11.403101746603978,2526,128,0.1931847675174109
signoff_or_issue_t,official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,baseline_bundle,0.2462037404280164,0.1404129112150529,0.0795287999738059,10.744371993918357,2538,128,0.469195167012203,0.2282467902068522,0.0398164113838439,10.745002568716934,2532,128,0.1931847675174109
completed_t,official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,farm_income,0.1783191222512984,0.1031102377512186,0.0837370494065987,10.08304910273622,2772,130,0.3960479871132579,0.186140788408865,0.0333636445571869,10.08410032968476,2766,130,0.1931847675174109
high_sat80_t,official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,farm_income,0.1783191222512984,0.1031102377512186,0.0837370494065987,10.08304910273622,2772,130,0.3960479871132579,0.186140788408865,0.0333636445571869,10.08410032968476,2766,130,0.1931847675174109
signoff_or_issue_t,official_x_geo_area_rugged,Official schedule x terrain-area survey difficulty,farm_income,0.1766690987893734,0.105310064239198,0.0934234783669389,9.439187273771736,2778,130,0.3974541610631437,0.1904802524168438,0.0369252256950531,9.439868208250084,2772,130,0.1931847675174109
completed_t,official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,baseline_bundle,0.2617667343656379,0.1323074539206901,0.0478753638419044,11.463409477907687,2532,128,0.5479211947003984,0.2320335953115947,0.0182067028952217,11.464400875082523,2526,128,0.1837398453123066
high_sat80_t,official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,baseline_bundle,0.2617667343656379,0.1323074539206901,0.0478753638419044,11.463409477907687,2532,128,0.5479211947003984,0.2320335953115947,0.0182067028952217,11.464400875082523,2526,128,0.1837398453123066
signoff_or_issue_t,official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,baseline_bundle,0.2575181055594171,0.1334768493198016,0.0536924955701765,11.020205148233275,2538,128,0.5439881094039118,0.2344643222175459,0.0203337532856189,11.021038282729965,2532,128,0.1837398453123066
completed_t,official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,farm_income,0.2464641368311851,0.1112340056495232,0.0267102371321956,10.333934395484157,2772,130,0.5299055221123166,0.2119845301069739,0.0124285620458184,10.334799623592405,2766,130,0.1837398453123066
high_sat80_t,official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,farm_income,0.2464641368311851,0.1112340056495232,0.0267102371321956,10.333934395484157,2772,130,0.5299055221123166,0.2119845301069739,0.0124285620458184,10.334799623592405,2766,130,0.1837398453123066
signoff_or_issue_t,official_x_survey_net_distance,Official schedule x survey difficulty net of simple distance,farm_income,0.2442593686767896,0.1125030263468141,0.0299208947543743,9.894897973379004,2778,130,0.5294467260695478,0.2148444580087212,0.0137271298406731,9.895538207648071,2772,130,0.1837398453123066
