z,controls,b_any_rentin,p_any_rentin,F_any_rentin,N_any_rentin,C_any_rentin,b_asinh_rentin,p_asinh_rentin,F_asinh_rentin,N_asinh_rentin,C_asinh_rentin,bal_p_asinh_rb_inc_farm,bal_p_land_total_mu,bal_p_any_rentin,bal_p_a3_tenure_insec_z,bal_core_min,Fmin,both_p10,both_pos,score
iv_official_x_survey_net_distance,baseline_bundle,0.2617667343656379,0.047875363841904495,11.463409477907687,2532,128,0.5479211947003984,0.01820670289522175,11.464400875082523,2526,128,0.18373984531230667,0.6453126633114382,0.19877399855468247,0.626371076560433,0.18373984531230667,11.463409477907687,True,True,9
iv_official_x_geo_area_rugged,baseline_bundle,0.24907259579152127,0.07020381154430999,11.402207518366874,2532,128,0.47043969528203444,0.03524973200430237,11.403101746603978,2526,128,0.9722122245458406,0.19318476751741095,0.22461878518397183,0.32327147035429976,0.19318476751741095,11.402207518366874,True,True,9
iv_official_x_survey_net_distance,farm_income,0.24646413683118512,0.02671023713219567,10.333934395484155,2772,130,0.5299055221123166,0.012428562045818436,10.334799623592405,2766,130,0.18373984531230667,0.6453126633114382,0.19877399855468247,0.626371076560433,0.18373984531230667,10.333934395484155,True,True,9
iv_official_x_geo_area_rugged,farm_income,0.17831912225129842,0.08373704940659876,10.083049102736219,2772,130,0.39604798711325795,0.03336364455718699,10.08410032968476,2766,130,0.9722122245458406,0.19318476751741095,0.22461878518397183,0.32327147035429976,0.19318476751741095,10.083049102736219,True,True,9
iv_official_x_slope_area_complexity,baseline_bundle,0.2760877813477038,0.03099796177295744,11.208029806710623,2296,117,0.4438635626076146,0.030430361857476607,11.215483062361528,2290,117,0.3364926312909667,0.7602320113738802,0.28583074252928525,0.07009751461559816,0.07009751461559816,11.208029806710623,True,True,7
iv_official_x_slope_area_complexity,farm_income,0.18464731741408205,0.04383992274591164,10.257163240554734,2514,118,0.34997396488977983,0.05039669538793823,10.264309802102558,2508,118,0.3364926312909667,0.7602320113738802,0.28583074252928525,0.07009751461559816,0.07009751461559816,10.257163240554734,True,True,7
iv_official_x_range_elev,baseline_bundle,0.4055257567201259,0.028629079774610044,6.473418589989859,2296,117,0.5779773626109173,0.0580536192099137,6.4804728743096796,2290,117,0.41353356011576314,0.11871656621328484,0.4198469432922553,0.17149209923310124,0.11871656621328484,6.473418589989859,True,True,7
iv_official_x_range_elev,farm_income,0.3047438542163485,0.023328624982124735,6.3254242245380325,2514,118,0.5059453725162124,0.06642523425798741,6.332206799221984,2508,118,0.41353356011576314,0.11871656621328484,0.4198469432922553,0.17149209923310124,0.11871656621328484,6.3254242245380325,True,True,7
iv_official_x_sd_elev,baseline_bundle,0.45459656599103515,0.0464431742915663,4.945061658723463,2296,117,0.5876138298260212,0.09364251635293463,4.9476299222747535,2290,117,0.3446699265993973,0.6812467502872879,0.2962938503084147,0.1369477473120222,0.1369477473120222,4.945061658723463,True,True,7
iv_official_x_hydro_terrain_complexity,baseline_bundle,0.2124820210441462,0.10902082068828123,8.948257736733185,2296,117,0.381764477551258,0.07932150146387573,8.951097114723728,2290,117,0.6413636333204463,0.5813872327283205,0.245961580304484,0.5848969591246667,0.245961580304484,8.948257736733185,False,True,5
iv_official_x_hydro_terrain_complexity,farm_income,0.0844547761638108,0.4299054717240067,8.05882050236593,2514,118,0.22904842091106803,0.24025096651130928,8.061666236403182,2508,118,0.6413636333204463,0.5813872327283205,0.245961580304484,0.5848969591246667,0.245961580304484,8.05882050236593,False,True,5
iv_official_x_sd_elev,farm_income,0.3133392512022034,0.04821910461654233,4.914155481812051,2514,118,0.4531651904171128,0.1503109111798968,4.916803799118959,2508,118,0.3446699265993973,0.6812467502872879,0.2962938503084147,0.1369477473120222,0.1369477473120222,4.914155481812051,False,True,5
iv_official_x_slope_elev_complexity,baseline_bundle,0.3797985211611161,0.027195588425812156,6.6512381726674255,2296,117,0.5382639389287094,0.06254269655801359,6.655636774439972,2290,117,0.5979646196165077,0.17452657312925973,0.18454541164812654,0.0030351339986439967,0.0030351339986439967,6.6512381726674255,True,True,4
iv_official_x_slope_elev_complexity,farm_income,0.28606911174475275,0.018780106395910545,6.568922560519704,2514,118,0.4744882852526117,0.06988731147376592,6.573529763092518,2508,118,0.5979646196165077,0.17452657312925973,0.18454541164812654,0.0030351339986439967,0.0030351339986439967,6.568922560519704,True,True,4
iv_official_x_mean_elev,baseline_bundle,0.274900166082341,0.06502509113319488,5.654175146933552,2296,117,0.4928308801895356,0.08269279054121603,5.655421256507371,2290,117,0.42408792291525926,0.9078529058555838,0.06167900737098836,8.470484148741772e-05,8.470484148741772e-05,5.654175146933552,True,True,4
iv_official_x_mean_elev,farm_income,0.17981836399259898,0.08711290728635657,5.3407438326814525,2514,118,0.47233309916304284,0.07773343478047878,5.342202693803091,2508,118,0.42408792291525926,0.9078529058555838,0.06167900737098836,8.470484148741772e-05,8.470484148741772e-05,5.3407438326814525,True,True,4
iv_official_x_range_slope,baseline_bundle,0.4654103373070823,0.04118115645807219,5.315541678045096,2296,117,0.6680452701662797,0.08916472529127595,5.31921167915409,2290,117,0.26704829898081034,0.09983614189829845,0.01050622258672731,0.036026548006115086,0.01050622258672731,5.315541678045096,True,True,4
iv_official_x_mean_slope,baseline_bundle,0.4160632127960191,0.03374130420381549,5.30054889298554,2296,117,0.5746257975177771,0.068768608347888,5.303393952318123,2290,117,0.7690279065124689,0.49965771721511965,0.18579626413898145,3.7693620302952863e-06,3.7693620302952863e-06,5.30054889298554,True,True,4
iv_official_x_mean_slope,farm_income,0.2931084152403105,0.0223942430063655,5.239982263768777,2514,118,0.4902792688250567,0.07017113294728738,5.243230943415854,2508,118,0.7690279065124689,0.49965771721511965,0.18579626413898145,3.7693620302952863e-06,3.7693620302952863e-06,5.239982263768777,True,True,4
iv_official_x_sd_slope,farm_income,0.32667739552590763,0.05173943335743192,5.834032371044821,2514,118,0.3895839301709312,0.2094692127700506,5.853761590024017,2508,118,0.7121253713384799,0.2357154214319815,0.2924269056210214,0.0028643573698411175,0.0028643573698411175,5.834032371044821,False,True,2
iv_official_x_sd_slope,baseline_bundle,0.4439652252686105,0.058407614105573824,5.67376238259563,2296,117,0.535814209151342,0.11235411981001131,5.693348354985318,2290,117,0.7121253713384799,0.2357154214319815,0.2924269056210214,0.0028643573698411175,0.0028643573698411175,5.67376238259563,False,True,2
