spec,controls,outcome,N,clusters,b,se,p,F,sargan_p
geo+net,farm_income,any_rentin,2772,130,0.23495881945650537,0.10897422589088768,0.031076222148254562,10.934077277884338,0.06854411272359684
geo+net,farm_income,asinh_rentin,2766,130,0.5073353919163819,0.20609841501671708,0.013831222160357814,10.935451007731809,0.07527602957017776
geo+net,baseline_bundle,any_rentin,2532,128,0.25911160571994496,0.13290868411968934,0.05123024401775145,12.253919342791939,0.7524443586348009
geo+net,baseline_bundle,asinh_rentin,2526,128,0.5317368446795073,0.2291783918482715,0.0203307354104727,12.255117364958792,0.33514895819585355
geo+rawsurvey,farm_income,any_rentin,2772,130,0.2442654957399263,0.10944844080554272,0.02562911137092927,11.637478538213701,0.10002051318195815
geo+rawsurvey,farm_income,asinh_rentin,2766,130,0.5286925577273146,0.2131866575802304,0.013140027776532559,11.638738756549678,0.10007412530098247
geo+rawsurvey,baseline_bundle,any_rentin,2532,128,0.2527314325661085,0.12797580479195927,0.04828657935696801,12.990655283378644,0.9294880135208967
geo+rawsurvey,baseline_bundle,asinh_rentin,2526,128,0.5351112973036529,0.22813937056847594,0.018999254278740718,12.991793042111278,0.43377242857917964
net+rawsurvey,farm_income,any_rentin,2772,130,0.2458725043687409,0.11111784877234272,0.026917068629234375,10.938499377840756,0.08646381513917101
net+rawsurvey,farm_income,asinh_rentin,2766,130,0.5287487391197744,0.2116630330011763,0.0124872088812098,10.939910520555221,0.08941614911903106
net+rawsurvey,baseline_bundle,any_rentin,2532,128,0.2614035822502152,0.13257457571785566,0.0486384434145708,12.230805478258716,0.8630404231289871
net+rawsurvey,baseline_bundle,asinh_rentin,2526,128,0.5443565573046928,0.2314146842543857,0.01865776461910018,12.232083154415808,0.3943825674997409
geo+net+rawsurvey,farm_income,any_rentin,2772,130,0.17408892596895023,0.0985153738985407,0.07720738854656584,22.217231334556175,0.11493714587002768
geo+net+rawsurvey,farm_income,asinh_rentin,2766,130,0.4180632305607784,0.21652363295785582,0.053508133162263105,22.217088813656915,0.1570928378193266
geo+net+rawsurvey,baseline_bundle,any_rentin,2532,128,0.16530904651920886,0.10514544531263059,0.11590554828325295,24.933384778264383,0.32992636474190806
geo+net+rawsurvey,baseline_bundle,asinh_rentin,2526,128,0.38933879176597075,0.20881626462594824,0.06225093947666416,24.933011139385258,0.340736018591294
